time_step,mean_distance,variance
0.0,0.0,0.0
1.0,0.10514867342031092,0.09418661623044643
2.0,0.15333063263746788,0.13010265658250436
3.0,0.2049309470262006,0.16364118744672118
4.0,0.2507952770398063,0.1892795475869522
5.0,0.3002937027626386,0.21251959531478243
6.0,0.3473209015114342,0.23059914510090274
7.0,0.3915361517430776,0.24417974763950306
8.0,0.436459611034415,0.25477842380824567
9.0,0.47593492608859184,0.26198535647505583
10.0,0.5126831842246213,0.2667537151095723
11.0,0.554146765220874,0.27007021308329104
12.0,0.5852361582124439,0.27271615053530013
13.0,0.6183283717329189,0.27464393307038154
14.0,0.6459200563611901,0.2762116764290711
15.0,0.6668759572051199,0.2790464957996951
16.0,0.6899977985881107,0.28265504738953784
17.0,0.7142799710159777,0.28662055148789356
18.0,0.732634639227381,0.2936817118378524
19.0,0.7444853059351972,0.30391272059018826
20.0,0.7548833821546375,0.31647510245651056
21.0,0.7642440367418228,0.33055597242370627
22.0,0.7711331857710693,0.34739855678273845
23.0,0.7711049859082545,0.366555539474402
24.0,0.7716495826102213,0.3862264285485507
25.0,0.772995976972393,0.4065286279062723
26.0,0.7722850796024378,0.4281649442110521
27.0,0.7664230203096988,0.4522446198982285
28.0,0.7613793881985884,0.4784318133345977
29.0,0.7577645818677052,0.5037871720009914
30.0,0.7566206224627138,0.5240940729248116
31.0,0.7549995238718897,0.544756134591047
32.0,0.7518732783558641,0.5646178920888467
33.0,0.7483613344948888,0.5871566753408797
34.0,0.7496291384288675,0.6029275607953966
35.0,0.7523013170016365,0.620074257969267
36.0,0.7538071907896075,0.6385232845534881
37.0,0.7575353750921424,0.6542975114026511
38.0,0.7626576160614963,0.672918268693881
39.0,0.7660360148395413,0.6901455449681377
40.0,0.770248132251798,0.7090423888447035
41.0,0.7770671224687642,0.721131120516342
42.0,0.7871768948244359,0.7333823859697286
43.0,0.7966106017161716,0.7437291854263591
44.0,0.8050800170139325,0.7535620623162101
45.0,0.8184326849611148,0.7589324724446714
