time_step,front_position,front_width
0,0,0.0
1,1,0.30689838095116506
2,1,0.36069745851960805
3,1,0.40452587982318405
4,1,0.43506269385796825
5,1,0.4609984764777238
6,1,0.48020739800725964
7,1,0.4941454721430756
8,1,0.5047558061164286
9,1,0.511845051236266
10,1,0.5164820569096009
11,1,0.5196828004497464
12,2,0.522222319070432
13,2,0.5240648176231463
14,2,0.5255584424486692
15,2,0.5282485170823434
16,2,0.5316531269441926
17,2,0.5353695466571604
18,2,0.541924083094535
19,2,0.5512827954781361
20,2,0.5625611988544099
21,3,0.5749399728873498
22,3,0.5894052568333087
23,3,0.6054383036069008
24,3,0.6214711807868089
25,3,0.6375959754470479
26,3,0.6543431395002564
27,3,0.6724913530285934
28,3,0.6916876559073452
29,3,0.7097796644036736
30,3,0.7239434183172132
31,3,0.7380759680351655
32,3,0.7514106015281172
33,3,0.7662614927952986
34,3,0.776484102087993
35,3,0.7874479398469889
36,3,0.799076519836172
37,3,0.8088865874785236
38,3,0.8203159566251782
39,3,0.8307499894481721
40,3,0.8420465479085484
41,3,0.8491943950099657
42,3,0.8563774786679814
43,3,0.8623973477616681
44,3,0.8680795253409737
45,3,0.8711673045085376
46,3,0.8736661028404452
47,3,0.8768991204575656
48,3,0.8778617595824921
49,3,0.880072522162972
50,3,0.882523885881102
51,3,0.8850050415541038
52,3,0.8866126505711605
53,3,0.8882378482497039
54,3,0.8878492655362505
55,3,0.8893037557686544
56,3,0.8920584178727118
57,3,0.894331592702431
58,3,0.8995597853029864
59,3,0.9025545639144725
60,3,0.9041200815728752
61,3,0.9074763348994334
62,4,0.9103831342112384
63,4,0.9138681812900294
64,4,0.9174758375018164
65,4,0.9243750754988201
66,4,0.9298183056719701
67,4,0.9344344780148768
68,4,0.9390057358513456
69,4,0.9431581771551897
70,4,0.9487441362523162
71,4,0.955447589633327
72,4,0.9619114699606724
73,4,0.9670101896081515
74,4,0.9758619985780693
75,4,0.9823801870170068
76,5,0.9870266164252209
77,5,0.9930199449458113
78,5,0.9982419992986782
79,5,1.0058610508619055
80,5,1.0124097621959636
81,5,1.0182628730494787
82,5,1.0240611693220951
83,5,1.028927414602163
84,5,1.0342593277314958
85,5,1.0407883808446803
86,5,1.0475982951589884
87,5,1.0521630847956045
88,5,1.0569870164705975
89,5,1.0612817916604211
90,5,1.0667380219401015
91,5,1.069812424165891
92,5,1.0733396194511315
93,5,1.0784723119422412
94,5,1.0813541939642277
95,5,1.0850302695114327
96,5,1.088531669175201
97,5,1.0924743999985
98,5,1.0968809161395938
99,5,1.0991705175936628
100,5,1.103295008741311
101,5,1.105832908221261
102,5,1.1104814349905747
103,5,1.114219730183016
104,5,1.1191808670316048
105,5,1.1227414872476962
106,5,1.126771696105778
107,5,1.1296738702787454
108,5,1.1336582631502479
109,5,1.1370747341004341
110,5,1.1406208716750528
111,5,1.145578867538377
112,5,1.1487458740996541
113,5,1.1530232803924527
114,5,1.1564171531223335
115,5,1.1606191442993679
116,5,1.1652342685441552
117,5,1.1703964929661028
118,5,1.1739700536102766
119,5,1.1783022048805225
120,5,1.1814095857887248
121,5,1.185807755823929
122,5,1.1893507360958073
123,5,1.193564106714913
124,5,1.1973740025207982
125,5,1.2007915388169645
126,5,1.2043879797928703
127,5,1.2084868636101431
128,5,1.2122246596729427
129,5,1.2154929905913057
130,5,1.2190378823295067
131,5,1.223143096440601
132,5,1.2269263021855406
133,5,1.2309172453352213
134,5,1.2346158267649492
135,5,1.2381943374732518
136,5,1.2418758113347002
137,5,1.2452574039248434
138,5,1.2482737084441076
139,5,1.251898048776076
140,5,1.2550811610474388
141,5,1.2584497166501156
142,5,1.2620668473570806
143,5,1.2651334277976083
144,5,1.2688054397277067
145,5,1.2723429191727638
146,5,1.275421950538843
147,5,1.2788898571596428
148,5,1.2819939163044478
149,5,1.2850502830349215
150,5,1.2881889345344257
151,5,1.2915005620305189
152,5,1.2946738847396138
153,5,1.2975212193887162
154,5,1.299709153271369
155,5,1.3028293248303602
156,5,1.3055252101608794
157,5,1.3088025326340653
158,5,1.3119960237985469
159,5,1.3148669136792979
160,5,1.3177147219347491
161,5,1.3206634258023588
162,5,1.3236868250504465
163,5,1.3264410502034587
164,5,1.3293338680020381
165,5,1.3322335760613582
166,5,1.3343629228540068
167,5,1.337055398719325
168,5,1.3397135548106551
169,5,1.3426179491185868
170,5,1.3450305335269928
171,5,1.3477274596190552
172,5,1.350849263205844
173,5,1.3534713071798588
174,5,1.3563245467641314
175,5,1.35839812520609
176,5,1.360671775402061
177,5,1.363849098490117
178,5,1.365792299738606
179,5,1.3681299726267389
180,5,1.371047498557908
181,5,1.3738779185950567
182,5,1.3764853115530409
183,5,1.378588543994426
184,5,1.3803250511442264
185,5,1.382494341593276
186,5,1.3849529788933854
187,5,1.3867629197827656
188,5,1.3887593258827198
189,5,1.3909744691529617
190,5,1.3926765837481467
191,5,1.3944697767620775
192,5,1.3968499381307808
193,5,1.398208679163098
194,5,1.400103493520055
195,5,1.4020018408400625
196,5,1.4043611039062045
197,5,1.4058762502010331
198,5,1.408170098556665
199,5,1.4099602967244385
200,5,1.4117945379441235
201,5,1.4134488842323703
202,5,1.4153011329647425
203,5,1.4170225548306632
204,5,1.4189348115364955
205,5,1.420847934423221
206,5,1.4228676905692028
207,5,1.4249005406304305
208,5,1.4260345987454477
209,5,1.4279497212527945
210,5,1.4296548624796146
211,5,1.4312769316279113
212,5,1.4335171584770763
213,5,1.4350882918391104
214,5,1.4370601302577972
215,5,1.4390641257385717
216,5,1.4407316986319219
217,5,1.442610944504687
218,5,1.4442101300547046
219,5,1.4462140682677684
220,5,1.4479607968898924
221,5,1.4495845824328504
222,5,1.451387545488611
223,5,1.4531709483397925
224,5,1.4547962386175468
225,5,1.4561854608108573
226,5,1.4575648867476734
227,5,1.4594195031970247
228,5,1.461423537816888
229,5,1.4628593250440725
230,5,1.4638043502538842
231,5,1.465311365432402
232,5,1.466741616879433
233,5,1.4687893998168144
234,5,1.4705856742946126
235,5,1.4716283811163038
236,5,1.4728422007412274
237,5,1.4739642662507741
238,5,1.4750857000573059
239,5,1.4769461217340873
240,5,1.4782682971888466
241,5,1.4793755220790321
242,5,1.4804699019266723
243,5,1.481607018118391
244,5,1.482947916183445
245,5,1.4840433199403718
246,5,1.4854402809920497
247,5,1.4863712148048351
248,5,1.4876001791698568
249,5,1.4889402227069268
250,5,1.4899702473451992
251,5,1.49082942283848
