time_step,front_position,front_width
0,0,0.0
1,0,0.049463443826018375
2,0,0.08943448775016734
3,0,0.1308588805137607
4,1,0.17002253180885935
5,1,0.2069452694169109
6,1,0.24207567887055406
7,1,0.2754282684952729
8,1,0.3073625138020278
9,1,0.3370783553898083
10,1,0.3634162697202088
11,1,0.38732541438116863
12,1,0.40912905738476485
13,1,0.429956438447722
14,1,0.44847432102858187
15,1,0.4652884164226486
16,1,0.48076834222221715
17,1,0.49482959727259823
18,2,0.5076701608933352
19,2,0.5196156483983067
20,2,0.5305559108459839
21,2,0.5408445078432275
22,2,0.5506172638998129
23,2,0.5592533445155413
24,2,0.5679515748230689
25,2,0.5762246457601696
26,2,0.584027977685756
27,2,0.5917971669531683
28,2,0.5992010013760976
29,2,0.6065231215680834
30,2,0.6137074207882948
31,2,0.6207496174676478
32,2,0.6276836209244014
33,2,0.6347797195130764
34,2,0.6414985351285524
35,2,0.6483908680317735
36,2,0.6551133360212831
37,2,0.6619599809117759
38,3,0.668987726120182
39,3,0.6761485420340059
40,3,0.6835108349065384
41,3,0.6908495539902012
42,3,0.6980512073904154
43,3,0.7054623285978441
44,3,0.7134420813540995
45,3,0.7215589053133633
46,3,0.7293772632988379
47,3,0.7375981334569837
48,3,0.7459605614988006
49,3,0.7547629478679893
50,3,0.7636964942690324
51,3,0.7727324419561484
52,3,0.782074583230365
53,3,0.7918342485381444
54,3,0.8018098975481546
55,3,0.8119101212582875
56,3,0.8219678779361536
57,3,0.8325017265364778
58,4,0.8430129115714714
59,4,0.8539089990451963
60,4,0.8650253444372855
61,4,0.8764733278618502
62,4,0.887690636789617
63,4,0.8994565478767214
64,4,0.9114453239853444
65,4,0.9230565209188502
66,4,0.9348141426973003
67,4,0.9469701149472496
68,4,0.9589726463477007
69,4,0.9711141524074794
70,4,0.983004198098155
71,4,0.9952394169248918
72,4,1.0075198820985376
73,4,1.0195343702132937
74,5,1.0318603086203015
75,5,1.0439811947457884
76,5,1.0564731364228217
77,5,1.068282977041854
78,5,1.0802955547940727
79,5,1.0922212072182695
80,5,1.1036461052445843
81,5,1.1152144985377603
82,5,1.1264666723245342
83,5,1.1378103825560208
84,5,1.1489794175166723
85,5,1.1599836103322991
86,5,1.1708712531691448
87,5,1.1814369284074953
88,5,1.191788133978653
89,5,1.2018568107416692
90,5,1.2119968980114346
91,5,1.222014777131919
92,5,1.2317800289782115
93,5,1.241123349027199
94,5,1.2505756117802687
95,5,1.2596267197457907
96,5,1.268418120978801
97,5,1.277423150669682
98,5,1.2863071860419235
99,5,1.2947747212942293
100,5,1.3032464346676749
101,5,1.3111612133049557
102,5,1.3193089221204821
103,5,1.3269168214552958
104,5,1.334511495470427
105,5,1.3419793493772147
106,5,1.3492085423564946
107,5,1.3561511883875959
108,5,1.3628893561830564
109,5,1.3694870656107094
110,5,1.3759411911357868
111,5,1.3823016649556423
112,5,1.3885396764912439
113,5,1.3945716220038185
114,5,1.40038788446462
115,5,1.405869152600147
116,5,1.4112631812021177
117,5,1.416411740385305
118,5,1.4216650387704475
119,5,1.4267566899425224
120,5,1.431669078461713
121,5,1.4363604789089506
122,5,1.4408928151053444
123,5,1.4452748113195888
124,5,1.4496650395736055
125,5,1.453799078483808
126,5,1.4579395314491879
127,5,1.4619092534318665
128,5,1.4656112800450114
129,5,1.4692697725516113
130,5,1.4727661842763708
131,5,1.4761559610113941
132,5,1.4794414072146505
133,5,1.4825806305582485
134,5,1.4856368149310735
135,5,1.4886023301612539
136,5,1.491491484671004
137,5,1.4942783459412716
138,5,1.4969397857300106
139,5,1.499454648723218
140,5,1.5018626080772786
141,5,1.5042002767030462
142,5,1.506353994345574
143,5,1.508463328877048
144,5,1.510321748970248
145,5,1.5120873177000902
146,5,1.5136559451781766
147,5,1.5151610091608467
148,5,1.5165728365322813
149,5,1.5178420241336983
150,5,1.5189674994785685
151,5,1.519966197572644
152,5,1.520854044860283
153,5,1.5216139944087104
