time_step,mean_distance,variance
0.0,0.0,0.0
1.0,0.0024513104436207243,0.002446632275129674
2.0,0.008052851329949618,0.007998527599134832
3.0,0.017380983931269883,0.017124046609314703
4.0,0.029659947826732508,0.028907661322694587
5.0,0.04452090187659253,0.042826344534037816
6.0,0.061869953353157814,0.058600634300639616
7.0,0.08150544205054358,0.07586073108630415
8.0,0.10355091274012991,0.09447171489070172
9.0,0.1272597782594644,0.11362181767229784
10.0,0.15122146858987334,0.13207138509735158
11.0,0.17568948268410342,0.15002097662554403
12.0,0.20060783381443345,0.16738658559654623
13.0,0.22700435812047637,0.1848625389626498
14.0,0.25297771749840436,0.20112921662204752
15.0,0.2789487870808084,0.21649331045709608
16.0,0.3050558407941403,0.2311381988830989
17.0,0.330898624218164,0.24485633033696166
18.0,0.356616581319129,0.2577289922614649
19.0,0.382060386394676,0.27000042206039254
20.0,0.4070855326487061,0.28148957453361156
21.0,0.43206353067771136,0.29251278166418293
22.0,0.4571468267939355,0.3031793713045162
23.0,0.4807796999890989,0.31276430335181876
24.0,0.5054545646005896,0.32256899134400396
25.0,0.5297938691596068,0.33203484238143277
26.0,0.5539136775318696,0.3410886787197138
27.0,0.5783912337852004,0.35022388681379624
28.0,0.602231405737686,0.3590418400501181
29.0,0.6261721146403246,0.36787029699669205
30.0,0.6502663202359006,0.37663679833062097
31.0,0.673984309952791,0.38533008758623144
32.0,0.6974229084845834,0.39398672797676776
33.0,0.7214499782756018,0.4029452923050999
34.0,0.7445440456362036,0.4115203705720786
35.0,0.7681602892945923,0.4204107177469969
36.0,0.7909958944923994,0.4291734830329341
37.0,0.8143273528510238,0.43819101632871893
38.0,0.8376987929171548,0.44754457769945133
39.0,0.8613039256166581,0.4571768508947113
40.0,0.8853118871842236,0.4671870614346333
41.0,0.9087927976614752,0.4772731062484601
42.0,0.9311504998963614,0.48727548813921695
43.0,0.9536984662121587,0.49767709707069263
44.0,0.9769191867033561,0.5089996034468697
45.0,0.9998973711818402,0.5206472538370193
46.0,1.0215656190153608,0.5319911922173026
47.0,1.0434379429595602,0.5440510064792259
48.0,1.0646203663651541,0.5564571593116059
49.0,1.0860880044933494,0.5696671074743771
50.0,1.1071862263441188,0.5832323353588102
51.0,1.1276505873307996,0.5971154268515118
52.0,1.1477964355285555,0.6116406537349488
53.0,1.1681095571339954,0.6270014771579677
54.0,1.188005473075183,0.642899111806182
55.0,1.2072856672989538,0.6591980450016472
56.0,1.2259816636725442,0.6756311923588629
57.0,1.2444771254052822,0.6930591246862159
58.0,1.2625364068796745,0.7106707690762095
59.0,1.2807433182494359,0.729160578650369
60.0,1.2987443237752119,0.7482688465188447
61.0,1.3168540777687014,0.7682054944532262
62.0,1.3340102385380224,0.7879946666439563
63.0,1.3517748051961695,0.809022081518308
64.0,1.3695741452898884,0.830732578614749
65.0,1.3865872528744756,0.852033340810811
66.0,1.4035484001258145,0.8738774813868875
67.0,1.4209919274151142,0.8967523986032067
68.0,1.4379633459684673,0.9196285364431134
69.0,1.4550806487075556,0.9430626970060958
70.0,1.4718351706654398,0.9662972534785959
71.0,1.4891572204458636,0.9905014970009978
72.0,1.5064623314125964,1.0150963128238515
73.0,1.5235118388666746,1.0394503320462172
74.0,1.5410445747929051,1.0647356965059847
75.0,1.5583974081825687,1.089896734982843
76.0,1.5765353901946324,1.1161354879830743
77.0,1.5938832968870829,1.1412285190374072
78.0,1.6116061935797954,1.1670384857078333
79.0,1.629299167953425,1.1929471654973343
80.0,1.6466391384772743,1.2180347256215396
81.0,1.6643565070920991,1.2437033777488264
82.0,1.681844372222092,1.2689271638579092
83.0,1.6997141463643923,1.2946124666522785
84.0,1.717614368492549,1.3201537018769516
85.0,1.7354809467425474,1.3455619762395563
86.0,1.753294836543167,1.3709394914978832
87.0,1.770963716743558,1.3957932158049369
88.0,1.7885648307751043,1.4203589562923185
89.0,1.8059392073559808,1.4444597935261347
90.0,1.8236412701603135,1.4689364807893397
91.0,1.8413498476869559,1.493320115528773
92.0,1.8589379576406164,1.517282039789563
93.0,1.876027137781507,1.5403871675004925
94.0,1.893596122397569,1.5639393607795928
95.0,1.9106711864261776,1.5866594730975407
96.0,1.9275679099857381,1.608884529627392
97.0,1.9450955351980328,1.6318099058668576
98.0,1.9625761658026113,1.6545861768630918
99.0,1.97951672647981,1.6764415789025486
100.0,1.9967597820200784,1.6984512694740066
101.0,2.013146186998762,1.7191437272753243
102.0,2.030240828250992,1.7405760319867092
103.0,2.046454853968317,1.7607082510610255
104.0,2.0627994773448535,1.780920931542715
105.0,2.079233696322682,1.8009085741548922
106.0,2.0953787498470606,1.8203636907677385
107.0,2.111112990928479,1.839146045765089
108.0,2.126645451360237,1.857467397197067
109.0,2.1420196419997497,1.8754948228750292
110.0,2.1572987824152707,1.8932141614641678
111.0,2.172452831839274,1.9107578929391416
112.0,2.1875796099869746,1.9280424331904085
113.0,2.2022757434894076,1.9448300088983634
114.0,2.216593017589026,1.9610862269552944
115.0,2.2302789494498114,1.976468074232657
116.0,2.2438721398166477,1.9916637666167203
117.0,2.2569071922953725,2.00622221830133
118.0,2.270330035812925,2.021131482462179
119.0,2.283412842811976,2.0356346522957427
120.0,2.2960875477553944,2.049676350223409
121.0,2.3082146944505877,2.0631314253715507
122.0,2.31991104089453,2.076172104622205
123.0,2.331277423166825,2.0888192802348717
124.0,2.342634180271115,2.101528726961944
125.0,2.3533674722016555,2.1135317606003685
126.0,2.3640611649477794,2.125587677362276
127.0,2.3742456645547914,2.137178665269717
128.0,2.3837352541142964,2.148016424195175
129.0,2.3930599573369293,2.1587536645338616
130.0,2.401890715416613,2.1690402335479817
131.0,2.4104264973223666,2.17903642122947
132.0,2.4186275623646427,2.1887468773812655
133.0,2.426427895328578,2.1980453261064943
134.0,2.4340257024500596,2.207116745878544
135.0,2.441304415752878,2.215936897361515
136.0,2.4483563338055276,2.224546848846117
137.0,2.4551705786449527,2.232867775148983
138.0,2.4616763201891922,2.2408287221014076
139.0,2.4678285517934664,2.2483642435776687
140.0,2.4738105895049505,2.255591293540685
141.0,2.4796239105327507,2.2626184724335197
142.0,2.4851582189350188,2.2691023562808628
143.0,2.4906179496540433,2.275461614566825
144.0,2.4955607487433245,2.281071785412548
145.0,2.500427626752897,2.2864080563494538
146.0,2.5049256004731384,2.2911543203732414
147.0,2.509406572164143,2.2957128836813148
148.0,2.5137434597917903,2.2999931685075694
149.0,2.517965579256209,2.303844410226284
150.0,2.5219627381713745,2.3072622644721754
151.0,2.52585590875197,2.3102972417634415
152.0,2.5296706281735033,2.312997025767883
153.0,2.5334080586297567,2.3153091479804306
154.0,2.5369098687218585,2.317262326025375
155.0,2.5401745957047743,2.3187748042471705
156.0,2.543416621602623,2.319841497429082
157.0,2.5464959471134447,2.320607052012088
158.0,2.5494956366514168,2.320941587156537
159.0,2.5523162347695147,2.3209519280328674
160.0,2.5549495708047107,2.3206051873936504
161.0,2.5574927085682546,2.3199522807885753
162.0,2.5599523958971755,2.31903573192181
163.0,2.5621175681700246,2.31786884532179
164.0,2.5641347464467477,2.3162589280719237
165.0,2.566032488099228,2.314269377908377
166.0,2.567740327908178,2.3120360507087563
167.0,2.569301738908248,2.309527794511461
168.0,2.5705664826581187,2.3067641575650546
169.0,2.5716232192983908,2.3038031370605543
170.0,2.5725830509667964,2.3005824983163183
171.0,2.5733489450495166,2.2971018049245817
172.0,2.5738991346986633,2.293458299692281
173.0,2.5741767517197016,2.2894818581119303
174.0,2.574228299947004,2.285153825361567
175.0,2.5740474878167277,2.280597022694324
176.0,2.5736819541103566,2.275925053193153
177.0,2.573074033816032,2.2711807875346457
178.0,2.57223612212233,2.2664198423248543
179.0,2.5712076634651355,2.261360098924695
180.0,2.5699013895487752,2.2561604129004644
181.0,2.568387036053716,2.250828292007336
182.0,2.5667286677462204,2.2454008400024428
183.0,2.56480988768968,2.2398795844110557
184.0,2.5626739995117975,2.234194270717299
185.0,2.5603539510751587,2.228505908021468
186.0,2.5579235151264923,2.222896754136163
187.0,2.5552790592339023,2.217277985642694
188.0,2.552478875082668,2.21169389538763
189.0,2.5494519824402264,2.205880523202727
190.0,2.5463662705059082,2.200316545782372
191.0,2.5431954869199425,2.194894881734183
192.0,2.5399561342476504,2.1895463486148863
193.0,2.5366093612641114,2.1844042950574645
194.0,2.5332139764819757,2.179355396188771
195.0,2.5298056879844326,2.1746092368993875
196.0,2.526526483010435,2.170329840084526
197.0,2.523050652496965,2.166017872118145
198.0,2.5195871285366436,2.1620113859410326
199.0,2.5161671521451163,2.158435375888371
200.0,2.5126870262226517,2.1551305887297305
201.0,2.5093533916212536,2.152333103215705
202.0,2.5060868900721394,2.1499686527017987
203.0,2.5027861737545933,2.14784271361403
204.0,2.499581046476023,2.1462272802863565
205.0,2.496539717434351,2.1451684692773583
206.0,2.4935598080086514,2.1446141011658018
207.0,2.4907854075124463,2.1447084951849655
208.0,2.488120703274615,2.1452128655021507
209.0,2.4854628613044873,2.146107312092366
210.0,2.483054956732428,2.1476338416300633
211.0,2.4807416671837914,2.1495954211728936
212.0,2.4785150776121796,2.1521317386004766
213.0,2.4764562132268306,2.1549319767426356
214.0,2.4744234162377863,2.15842513622734
215.0,2.4724920519011437,2.1624170215453766
216.0,2.47068289303549,2.1667328228600677
217.0,2.468942064792791,2.1714471293130044
218.0,2.4673230898088887,2.176548511992534
219.0,2.465771923174458,2.182027083460487
220.0,2.4642892922473223,2.1877752475867904
221.0,2.4628999393219404,2.1937280587193113
222.0,2.461413180413549,2.200313093486339
223.0,2.4600570981475944,2.2068249486437272
224.0,2.458751888645965,2.2135222030180657
225.0,2.45749255965656,2.2200885472452736
226.0,2.456227430150604,2.226841964916999
227.0,2.454988869422719,2.233743010062791
228.0,2.4537105531424537,2.240906025733625
229.0,2.452465160998357,2.247806029061331
230.0,2.4511929282147125,2.2547094948828503
231.0,2.4498753603418333,2.261694061617095
232.0,2.44850249243367,2.2687479611140136
233.0,2.4471924169867174,2.2752339854990957
234.0,2.445772991890422,2.281749755590501
235.0,2.44432364650659,2.2881248312196103
236.0,2.4428593480805785,2.29408737342868
237.0,2.4413489193311517,2.2998618712438876
238.0,2.4397263089841266,2.305545130767869
239.0,2.438182684064075,2.3107809212491563
240.0,2.4365058752492805,2.3159632515500332
241.0,2.4347159923839414,2.321050478220098
242.0,2.4329075717753517,2.3257910982397263
243.0,2.4310993404440238,2.3302783797858364
244.0,2.4292124194791356,2.334493654438213
245.0,2.4272685401242753,2.338481371409668
246.0,2.425292832076903,2.3422240924315645
247.0,2.4232714571468206,2.345736826956343
248.0,2.421157386099247,2.349044765449638
249.0,2.419035393260329,2.352133016169626
250.0,2.416832653792648,2.3549765531747724
251.0,2.4145793274296365,2.357735186978908
252.0,2.412208292829808,2.360389299704085
253.0,2.4098080224409486,2.3628062929634597
254.0,2.407384464272371,2.3652092351455485
255.0,2.4048829750405707,2.367395925919939
256.0,2.4023964962082984,2.3694308153580073
257.0,2.3998839903936227,2.3713423829111075
258.0,2.3972935556534294,2.3731104579502897
259.0,2.3946355612093706,2.374795774554179
260.0,2.3919259235137047,2.376370032105992
261.0,2.3892908912444417,2.3777829407609374
262.0,2.3866040801990813,2.3790896016498184
263.0,2.3838395277932634,2.3802653043517523
264.0,2.38110916233029,2.381304111265477
265.0,2.378389066231012,2.382247468215475
266.0,2.3756006397465095,2.3829930454274058
267.0,2.372937058876803,2.383534495272361
268.0,2.3702229707564646,2.3838965051519327
269.0,2.3675936761903134,2.38409909642841
270.0,2.3650576249099626,2.38415739051924
271.0,2.3625084594508,2.383978800866763
272.0,2.360084723605722,2.383553674899092
273.0,2.357571752196608,2.3828857698988717
274.0,2.3553135390942175,2.3819749764147113
275.0,2.353163029395635,2.3808194222763763
276.0,2.3511810215877302,2.379419635103589
277.0,2.3493487738352012,2.3776698579342996
278.0,2.347645403335514,2.375631145010856
279.0,2.3461153020792636,2.373249099722785
280.0,2.3447550938830153,2.3706093380630326
281.0,2.3435838256826345,2.3677486270726487
282.0,2.3425278177628432,2.364648645993909
283.0,2.3416412977449084,2.3612894874527184
284.0,2.340907589185124,2.3575411050467228
285.0,2.340445643748697,2.353519362627363
286.0,2.340173719149897,2.349082940894527
287.0,2.340016194126863,2.3444137709917285
288.0,2.3401330706445527,2.3396566119492768
289.0,2.340457816421918,2.33460848919579
290.0,2.340933065490559,2.329321678764937
291.0,2.3415302919223873,2.3239937992934445
292.0,2.3423187344941034,2.318412590357389
293.0,2.34324738084223,2.3126930919813287
294.0,2.3442770367212313,2.3066763956539678
295.0,2.34541449317961,2.300778481050611
296.0,2.3466868299019232,2.294694688880343
297.0,2.3480263579832252,2.2885921033912275
298.0,2.3493995964754957,2.2825808253107684
299.0,2.350800529170159,2.276663515526579
300.0,2.3523351903718615,2.27042015281041
301.0,2.353913212307008,2.2642103721155733
302.0,2.3554493198043422,2.2581517858983293
303.0,2.356944009452096,2.252432546682008
304.0,2.358490121194258,2.246613827285297
305.0,2.3599669862010675,2.241031854511321
306.0,2.3613772578742283,2.235608576882889
307.0,2.3627317220263757,2.230427085897377
308.0,2.36412800824486,2.2251882359284094
309.0,2.3654342375140476,2.220210798206378
310.0,2.3666975686411473,2.215337015799837
311.0,2.367869435946559,2.210770349354153
312.0,2.3690887646346304,2.2061015632289456
313.0,2.3702052548289827,2.2017610212581005
314.0,2.371290927345973,2.197512413501787
315.0,2.372412143257999,2.193419670681023
316.0,2.3735222198401003,2.1893660560714094
317.0,2.3745992989650855,2.1855777105482996
318.0,2.3757088427738418,2.1818970726315
319.0,2.376818016591802,2.178330813416993
320.0,2.377975727359752,2.174969127300283
321.0,2.379194098316044,2.1715782414226625
322.0,2.380461542584386,2.168249696603345
323.0,2.381816288365257,2.164932399695572
324.0,2.3832098747878905,2.16176171091511
325.0,2.384804761005108,2.158559783430552
326.0,2.386414050418,2.1555435933240368
327.0,2.3881262227158766,2.1525497219532763
328.0,2.389975586551366,2.149468980903263
329.0,2.3919637122965893,2.1465347290305354
330.0,2.394066800354934,2.1435598607097983
331.0,2.396325364234354,2.1407396788105872
332.0,2.398581331080665,2.137968128834424
333.0,2.4009257021272195,2.1353519211801304
334.0,2.4033824673230653,2.1327356659824206
335.0,2.4059347608830497,2.130190984978321
336.0,2.408538324000753,2.1278154768772044
337.0,2.4113061694129785,2.1253838280442334
338.0,2.414058252673602,2.1230938222859352
339.0,2.416972527507764,2.1209567320939815
340.0,2.419799734831842,2.119059907222921
341.0,2.4227047605773717,2.117292775132161
342.0,2.4256060928517953,2.1157212013578635
343.0,2.428462042052367,2.1144000519752355
344.0,2.431507574047915,2.113381974665951
345.0,2.434413320734717,2.1125752837907426
346.0,2.4373187657199322,2.112176020544502
347.0,2.440215602473593,2.112072515462347
348.0,2.4430430431281187,2.112403111260897
349.0,2.44582540077432,2.113039353417639
350.0,2.4485158968035994,2.1141212470471142
351.0,2.451223655304264,2.1154018379297286
352.0,2.4538463737448857,2.117152200420011
353.0,2.45640758233692,2.119320288717371
354.0,2.458827672092666,2.12185094506376
355.0,2.4612702899807832,2.124835242758201
356.0,2.4637562921074654,2.1286152154587192
357.0,2.466143247337059,2.1327736693072668
358.0,2.4684881199056448,2.1371809121598657
359.0,2.4708137644352925,2.1421767457606338
360.0,2.473028293968675,2.147348585105262
361.0,2.475263792861467,2.1528824942537783
362.0,2.4774978057926247,2.158766630880855
363.0,2.4797518896162645,2.1650507676345825
364.0,2.4819475124831385,2.171634510724849
365.0,2.484185527954517,2.1786644639248554
366.0,2.4864234666854967,2.1858202111796956
367.0,2.4886544252900866,2.1931413540538376
368.0,2.490877424782575,2.200706784055469
369.0,2.493075626089327,2.2083352722234277
370.0,2.495248387048979,2.215973660306849
371.0,2.497413368100699,2.223839379009907
372.0,2.4995861319500667,2.2317108011893536
373.0,2.5018248915138064,2.2398618768014993
374.0,2.5039728836511617,2.2478859014863932
375.0,2.506076627495831,2.255779932070231
376.0,2.5080102381087386,2.263384751231861
377.0,2.5098831750818995,2.2708942981989972
378.0,2.5117624575400543,2.2785026308163943
379.0,2.5135061208633647,2.2858342330562778
380.0,2.5150847525248565,2.2926931727574145
381.0,2.5165015508604505,2.2993685496102962
382.0,2.5177220333748394,2.3056850619734384
383.0,2.518834681331967,2.3118250253539525
384.0,2.5197218287037266,2.3175289409085416
