time_step,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.7030004748251791,0.2969272221059894,6.509594689578765e-05,7.207121935665636e-06,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.5074387882109322,0.49210315137646043,0.0003762509443116679,8.180284233791878e-05,6.194217480829907e-09,4.317271586152793e-10,1.2441233768328745e-14,5.250564835163319e-16,0.0,0.0
3,0.0,0.5353305777117243,0.46351616606215995,0.000885786858312977,0.0002673773811920132,8.498865719656047e-08,6.996957135783415e-09,9.51899182641567e-13,4.4117349152536906e-14,0.0,0.0
4,0.0,0.67108822924959,0.32689882419162564,0.0014119345700882677,0.0006005359182219631,4.290586706792825e-07,4.699599623757554e-08,1.4916411356797602e-11,8.898900836522182e-13,0.0,0.0
5,0.0,0.8532140900127956,0.1439215936268622,0.001733437518240695,0.0011292764189471706,1.3751951378182334e-06,2.2709658695889063e-07,1.208011932965317e-10,1.0625280047384919e-11,1.1129334258601476e-15,0.0
6,0.0,0.9765803769077946,0.01933344610847884,0.001842041766450142,0.0022394576661497,3.0002313998044553e-06,1.6762285530918674e-06,8.409603396788853e-10,2.50168961325071e-10,3.7326523581200036e-14,5.289226664751412e-15
7,0.0,0.910178778085552,0.0852584064936173,0.0021047338473462684,0.0024503258875724207,5.178783357938589e-06,2.573717599154748e-06,2.637668016492257e-09,5.470038940802416e-10,2.6024590185846484e-13,2.0579773148354796e-14
8,0.0,0.9006876451832359,0.09470692986779555,0.0021323739113928283,0.0024616857035594793,8.675450703770958e-06,2.6836743555875076e-06,5.611408122724252e-09,5.967675427877846e-10,7.54357884904502e-13,2.4016113417324718e-14
9,0.0,0.7355988803403678,0.25803688225118937,0.003669282949506903,0.002678569066282043,1.1253236414092224e-05,5.116403833066009e-06,1.3322099664993545e-08,2.426920422163006e-09,3.123501965057929e-12,2.5958693908931426e-13
10,0.0,0.5461115488109783,0.44451443417199393,0.006015900755880568,0.0033365813129470085,1.296112019953642e-05,8.538366144315032e-06,2.66129200635758e-08,8.835765639585486e-09,1.1248234064151676e-11,1.918235403488467e-12
