time_step,avg_weight,std_weight,num_strings,kept_norm,total_norm
0,1.0,0.0,1,1.0,1.0
1,1.0753034591527082,0.26394276727043814,16,1.0,1.0
2,1.1637223575345632,0.3703611753740368,54,1.0000000000000002,1.0000000000000002
3,1.3858480817145267,0.4881981260039553,80,0.9999999999999998,0.9999999999999998
4,1.4556126912524492,0.5010589280795007,91,1.0000000000000002,1.0000000000000004
5,1.4946096705631715,0.5054197476893313,97,0.9999999999999993,0.9999999999999997
6,1.5056131733754263,0.5080902333420928,104,0.999999999999999,0.999999999999999
7,1.5084874778536423,0.5117304158717018,110,0.9999999999999977,0.9999999999999981
8,1.4400910117313652,0.5154631196341032,129,0.9999999999999983,0.9999999999999986
9,1.3477452186848677,0.5030459049904741,137,0.9999999999999973,0.9999999999999974
10,1.112420287953995,0.39691568332677024,154,0.9999999999999966,0.999999999999997
11,1.1296460057527844,0.41374522263778035,160,0.9999999999999967,0.999999999999997
12,1.2439286470804807,0.4972847340075168,171,0.9999999999999968,0.999999999999997
13,1.118926103059556,0.4189182010223785,180,0.9999999999999959,0.9999999999999961
14,1.1943655120449033,0.45296716548710464,192,0.9999999999999959,0.9999999999999959
15,1.3949306119592326,0.5307430182367024,195,0.9999999999999962,0.9999999999999962
16,1.4088080051110723,0.5366999603715067,195,0.9999999999999941,0.9999999999999942
17,1.5104786007672906,0.5561376743949729,197,0.9999999999999961,0.9999999999999962
18,1.217355993448713,0.5198130667250173,197,0.9999999999999959,0.9999999999999961
19,1.1739521047438148,0.5037189817552927,199,0.9999999999999957,0.9999999999999957
20,1.1355389791670125,0.48805053971170365,197,0.9999999999999969,0.9999999999999969
21,1.2304338004361899,0.5897451672512234,200,0.999999999999995,0.999999999999995
22,1.3926129383639094,0.6535489554728671,200,0.9999999999999954,0.9999999999999954
23,1.5342773661906839,0.6745793681015074,200,0.9999999999999954,0.9999999999999954
24,1.5779918662896069,0.6780305871812835,200,0.9999999999999954,0.9999999999999954
25,1.6179039210674053,0.6825921583930955,200,0.9999999999999963,0.9999999999999963
26,1.6255124271396928,0.6923894523960239,200,0.9999999999999954,0.9999999999999954
27,1.519924383259488,0.7245096813863439,200,0.9999999999999953,0.9999999999999953
28,1.18174722734885,0.6675023894262954,198,0.9999999999999942,0.9999999999999942
29,1.1870673390927886,0.670353164890397,200,0.9999999999999949,0.9999999999999949
30,1.1931495725287322,0.6735583848409046,199,0.999999999999995,0.999999999999995
31,1.2021773239725433,0.6767384142043132,200,0.999999999999995,0.999999999999995
32,1.2857117896143482,0.6954839527046618,200,0.999999999999996,0.999999999999996
33,1.5032402181830748,0.7124047319090564,199,0.9999999999999952,0.9999999999999952
34,1.6066325372923167,0.7335342793870866,200,0.9999999999999973,0.9999999999999973
35,1.277979308892288,0.7926137290329512,200,0.9999999999999966,0.9999999999999966
36,1.4365757544029587,0.84091495955522,199,0.9999999999999961,0.9999999999999961
37,1.6313628954412307,0.8316362253702378,200,0.9999999999999956,0.9999999999999956
38,1.7190947285598062,0.814490460878312,200,0.9999999999999969,0.9999999999999969
39,1.7579989143564854,0.8138648183274202,200,0.9999999999999958,0.9999999999999958
40,1.345422469794315,0.8782197116967916,200,0.9999999999999961,0.9999999999999961
41,1.3489769102982423,0.8799812648782677,200,0.9999999999999973,0.9999999999999973
42,1.4027385027529056,0.8824397483510347,200,0.999999999999996,0.999999999999996
43,1.7574387540465846,0.8523316184710508,200,0.9999999999999954,0.9999999999999954
44,1.6505776202681601,0.9114508266171515,200,0.999999999999996,0.999999999999996
