time_step,site_0,site_1,site_2,site_3,site_4,site_5,site_6,site_7,site_8,site_9
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,1.0436472840799365e-05,0.09290847502117389,0.9977355166067075,0.00020886911736736283,0.0,0.0,0.0
2,0.0,3.182909178182548e-11,2.902579867290912e-07,7.738431702925974e-05,0.26512796220092893,0.9796213621873864,0.0007874318306422051,5.80932415274615e-06,6.370412258986691e-10,0.0
3,5.5754346362121426e-14,2.287688159908873e-10,8.207574794548888e-07,0.0002232183740697677,0.31651268716022085,0.9699777766764177,0.001717386787644343,1.2808868646716595e-05,3.9315605571714795e-09,1.1168423046889513e-12
4,7.790252572827584e-11,1.5591413993265573e-07,8.338789420069699e-05,0.003979110464371651,0.9276830287054942,0.4655031960733226,0.004620303172622011,0.0006848145094800376,1.3172487024086732e-06,1.304270238051884e-09
5,1.4197857155357725e-09,2.8894313582098137e-07,0.00018707874021032739,0.005770714372967638,0.9571483054053016,0.3711218188027849,0.005475736042221849,0.0009419537582390164,2.153500402122638e-06,1.4402669879106466e-08
6,1.7451508054098964e-08,6.583577896109346e-07,0.0007127178225534948,0.007975324967649623,0.9927026995637316,0.16337108152688937,0.006009636949387008,0.0017745178341072175,3.5983775374425847e-06,1.4220060429449463e-07
7,1.3928819028411518e-07,1.7328420015864026e-06,0.002676340229276832,0.010330641324987185,0.9999609593935915,0.006967966793484376,0.005975159760707399,0.0036199248971976582,6.075925813634577e-06,8.706889509084986e-07
8,1.600666802703261e-07,3.454171845102782e-06,0.002868135912239363,0.013080566197491733,0.9999332876525413,0.009692054406082541,0.0059146560428625,0.003741608348161354,9.38136286297924e-06,9.61790189853428e-07
9,3.0365257669690586e-07,6.171868084957721e-06,0.0038225190492302994,0.01608881528538904,0.9995738755867836,0.03762323950583268,0.005762129121937851,0.004205918921395252,1.3654658441267367e-05,1.4885403531690334e-06
10,9.909913554988164e-07,1.0787266094289142e-05,0.006640570517423354,0.018979670355489683,0.9901717521390997,0.18760977794220124,0.005536840640908814,0.005054812286578002,1.8964919539792163e-05,3.4296071101222213e-06
11,1.197700987168073e-06,1.7088748751958692e-05,0.007214767152380847,0.022146874218866904,0.9859930512243187,0.22176059038944734,0.00536246981715546,0.005148750041484657,2.535227447675038e-05,3.900336238780392e-06
12,1.4892077916190596e-06,2.5291780155372744e-05,0.007874253799747682,0.025564525722917508,0.9806642792478379,0.25773465613027624,0.005254774224792883,0.005210595046871649,3.28117502015479e-05,4.492578463864047e-06
13,5.958245067694803e-06,3.7954097237777695e-05,0.014431801677634816,0.0281261477818648,0.8730887920562698,0.5852089881671794,0.005538209090571336,0.00512434517916598,4.02361094264226e-05,1.1724846619381646e-05
14,6.26027085573969e-06,5.3888611941100585e-05,0.014726289507229401,0.030935300306089847,0.8658944475897397,0.5978715077403162,0.005996284767511328,0.005093233095639553,4.868870951460922e-05,1.211365321790124e-05
15,1.2611602178470006e-05,7.487002398695235e-05,0.019536952660286704,0.03313482253289495,0.7308529457525648,0.7681678408671379,0.006978498353678896,0.004330477600147117,5.660196643975596e-05,1.921681979150273e-05
16,3.9337147927825086e-05,0.0001316383057303083,0.030119522427711168,0.034289716131420074,0.27100290235605323,0.9785432975699059,0.011660958512392447,0.0017428986549730154,6.423478164505987e-05,4.059437088137828e-05
17,7.439230341077418e-05,0.00016483805829578966,0.034213101543580295,0.03427482468361214,0.05309749549444077,0.9992109241653828,0.01496983661650533,0.0002240743735914908,6.505341668018035e-05,5.5463966948134044e-05
18,8.99453235166275e-05,0.0002024476316363571,0.03457004734329295,0.034268772575270535,0.03432210194664062,0.9996064465102342,0.018726957425978543,6.625609523449417e-05,6.511691390274324e-05,5.9458167103937274e-05
19,0.00012779516841082404,0.00023935217009320037,0.03348668110292306,0.03446838838932289,0.09669900840850529,0.997394928481357,0.022758499918408927,0.0006699394593506323,6.473375504158934e-05,6.450058104250214e-05
20,0.0001734612589069758,0.0002720130356182748,0.029739927670734096,0.03532072106956549,0.2815007478263814,0.9765487543104788,0.026713013371400203,0.002933572243937765,6.613528501570955e-05,6.42230366272168e-05
21,0.0002167256118477994,0.00029907248105456695,0.024452464247871765,0.037064625414440465,0.49735265734140377,0.9149265602192123,0.030330036447044878,0.006476975510631923,7.17286007561814e-05,5.834426454176289e-05
