time_step,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.9457159304554654,0.054272041323161685,1.185859929086157e-05,1.696220820602725e-07,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.9164761856173392,0.08346783704939717,5.537529014280933e-05,6.019670431202064e-07,7.595248785150364e-11,1.2554410262569846e-13,0.0,0.0,0.0,0.0
3,0.0,0.6713984171043567,0.3280086083418542,0.0005457374086286555,4.723065940036625e-05,6.161422872321946e-09,3.243283427165375e-10,8.570760389142365e-15,3.3251587899270546e-16,0.0,0.0
4,0.0,0.5343076566466697,0.46406555215224277,0.0014039966886091747,0.000222714547260197,7.491599156286016e-08,5.048597429904973e-09,6.055699529973419e-13,2.3297367117634067e-14,0.0,0.0
5,0.0,0.5151180045747636,0.48141442240581545,0.002589222298947894,0.0008777931529934367,4.934945032348779e-07,6.405793808968351e-08,1.3970869929447671e-11,1.0667924987437285e-12,0.0,0.0
6,0.0,0.5507382538728501,0.4445118243074715,0.0035123612232032704,0.0012359424968289828,1.4862942539130415e-06,1.3172108769689722e-07,8.093719673867225e-11,3.365576775282744e-12,2.4114325448782054e-16,0.0
7,0.0,0.8769968441793358,0.1157240293823695,0.003295116483884685,0.003977701166470696,4.604272322447851e-06,1.7035668617005418e-06,7.841405335931579e-10,1.6458922245339672e-10,2.1344407441246917e-14,2.304499181411335e-15
8,0.0,0.9795415688459221,0.012233087483376604,0.002861626422267231,0.005350794575577065,9.019042411386895e-06,3.899892383032939e-06,3.1042625866749452e-09,6.335582761321686e-10,2.1871901327211243e-13,2.0708528169251124e-14
9,0.0,0.9874314204274895,0.00404421635525857,0.002820481984559093,0.005682935472154652,1.599280524597431e-05,4.944141458795211e-06,7.84297598072271e-09,9.699510684976363e-10,8.613583857603543e-13,4.174640301701433e-14
10,0.0,0.6062264397638107,0.381373769437902,0.005839934650953137,0.006525450252183544,1.2193458659015803e-05,2.2174150823529892e-05,1.9708817135586e-08,1.856761864145169e-08,5.966791824629037e-12,3.2620600253621342e-12
11,0.0,0.5580061352692757,0.4287449037515869,0.006797982381091477,0.00640810009344941,1.90536338370636e-05,2.376070826159916e-05,4.085587816899772e-08,2.3281426606800022e-08,2.0453638806822797e-11,4.735827923600972e-12
12,0.0,0.6830236657021563,0.30368050877546593,0.005500621249514719,0.007736150580183257,3.73215763928516e-05,2.161181557995178e-05,3.35645560408651e-08,8.664260577932366e-08,4.3169610574325257e-11,5.0371587723675006e-11
13,0.0,0.9667661875267448,0.023667324236366603,0.0009298207528732973,0.008560564492013683,6.67632662844227e-05,9.172544387348774e-06,6.128895644783549e-08,1.0570209782320124e-07,3.9640572458241095e-11,1.5063086317549398e-10
14,0.0,0.6097960590949684,0.3774994867091848,0.008338692088984197,0.0042951106441102985,5.2109713529901666e-05,1.8330983916556268e-05,1.4203069193088487e-07,6.845509138209043e-08,9.893355371782391e-11,1.805849478082738e-10
15,0.0,0.592865034043487,0.39012357620935406,0.010654755775082582,0.006274596170368776,6.909725536128768e-05,1.2742016471951147e-05,1.1128341113466045e-07,8.683487960881383e-08,3.117044528901268e-10,9.987479013488857e-11
16,0.0,0.6167866741267146,0.36464390740798514,0.011635406059126168,0.0068309664127126695,9.149943198118108e-05,1.1330607809430202e-05,1.2488228716871187e-07,9.051724425311405e-08,4.591145462255984e-10,9.50209197868822e-11
17,0.0,0.7010565925395785,0.2791968261401994,0.010837023257691647,0.008770211281685767,0.0001323860832580625,6.747704308078935e-06,1.0804994935770545e-07,1.0417480195378332e-07,6.807842967166567e-10,8.773873385252506e-11
18,0.0,0.7892002368366275,0.18740667179904213,0.01169098619091066,0.01142086130193505,0.0002774500696729688,3.5619224725204263e-06,1.0563687923472814e-07,1.244697071581795e-07,1.6564777218802866e-09,1.1627102513349022e-10
19,0.0,0.8765801571392994,0.0994116867173625,0.009194528926254204,0.014430005187267576,0.00037598233632908445,7.3677364169081605e-06,1.260382314167839e-07,1.435589422276253e-07,2.1466176461597303e-09,2.1327472768255255e-10
20,0.0,0.9043649187183401,0.06477055451586933,0.009934571429239723,0.020358977271263106,0.00046845772901119546,0.0001013703509509845,9.225320874823388e-07,2.2441615055132994e-07,2.109196142796658e-09,9.278872858128724e-10
21,0.0,0.7696673928896705,0.18994414005129462,0.018666268447892813,0.020841686439039487,0.0006619875933434297,0.0002148992071467548,3.1500413356600564e-06,4.705206264072358e-07,3.4062305140254378e-09,1.403416172476586e-09
22,0.0,0.5871241729932732,0.35757305557441826,0.03231938060263581,0.022024992829646595,0.0005843478050912359,0.0003671580221483632,5.459227236477233e-06,1.4262742330636865e-06,4.9757822374950874e-09,1.6955307859741503e-09
23,0.0,0.515529622920448,0.4210858496261087,0.03876259796169065,0.023584178266373414,0.0005982305821054775,0.0004300315563555424,7.193282686540223e-06,2.2851560983494874e-06,8.949312724850688e-09,1.6988166862891835e-09
24,0.0,0.4896261119658655,0.44230253643016737,0.042338391421979246,0.024601334941393202,0.0006662756568738316,0.0004536245272919333,8.912501523746644e-06,2.7961513955536842e-06,1.4710232123657341e-08,1.6932730895273335e-09
25,0.0,0.47098057905357227,0.45254450513184014,0.049847805574026204,0.025139305018627107,0.0010036521590028754,0.00046590625293031345,1.5030775981851875e-05,3.174771098992098e-06,3.9511363519966046e-08,1.7515526913441526e-09
26,0.0,0.46358386241900584,0.45645799439331797,0.05285905211553092,0.025473158579115963,0.001132790629695505,0.0004721690112818026,1.7529011554269376e-05,3.3901514068168365e-06,5.186597688731172e-08,1.8231097482783005e-09
27,0.0,0.4564839689782841,0.4598581683723721,0.05604059169852074,0.025842678962139553,0.0012719950106866008,0.0004786410187185742,2.0254984757534736e-05,3.632408531501787e-06,6.662540481867239e-08,1.9405803938524215e-09
28,0.0,0.44014038294837016,0.4636214166519934,0.06104176845279521,0.033231734855080027,0.0014175079794894133,0.00051516278524743,2.4429400080919917e-05,7.472215872146784e-06,1.1992294229246969e-07,4.788124738738485e-09
29,0.0,0.44069759592476626,0.45866509248840825,0.0636840044326777,0.034785553739658734,0.0016154160480005167,0.0005163430770266043,2.7555503082870663e-05,8.276379663300214e-06,1.5632425641351465e-07,6.082455292493484e-09
