time_step,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.9995614631386189,0.00043848876955441353,4.808918971680321e-08,2.6369776629353557e-12,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.9971535229492035,0.0028451321241564033,1.3446421239545096e-06,2.8448143030210745e-10,3.4674353145921443e-14,0.0,0.0,0.0,0.0,0.0
3,0.0,0.9945341101221823,0.005460516931030892,5.37056784705165e-06,2.378364481554387e-09,5.750655618512623e-13,0.0,0.0,0.0,0.0,0.0
4,0.0,0.9910536161628253,0.008931584579322227,1.478797334907273e-05,1.1279833331786532e-08,4.668357252806575e-12,4.631573851489348e-16,0.0,0.0,0.0,0.0
5,0.0,0.9867223121389017,0.01324466056436498,3.2988767557966415e-05,3.8504554878911035e-08,2.4611480028078156e-11,7.52340162948794e-15,0.0,0.0,0.0,0.0
6,0.0,0.9815529585320579,0.018382769240842072,6.416593726410924e-05,1.061924620990306e-07,9.731860271218527e-11,5.360765744345934e-14,0.0,0.0,0.0,0.0
7,0.0,0.9755607535748043,0.024325711207647812,0.00011328276555727212,2.5213790765434953e-07,3.1382763970093065e-10,2.5344362187985206e-13,0.0,0.0,0.0,0.0
8,0.0,0.960357266300914,0.03936849309856602,0.000273215734316167,1.0228090093133185e-06,2.054289983525677e-09,2.9013328506636086e-12,1.30948964659762e-15,0.0,0.0,0.0
9,0.0,0.9468728106720876,0.05264565511807301,0.00047906089314972216,2.466923324216647e-06,6.380897270088062e-09,1.2455351973987653e-11,1.0538871483935945e-14,0.0,0.0,0.0
10,0.0,0.9374525391374043,0.06186123398316254,0.0006821552010084864,4.0586042537119325e-06,1.3045386809956096e-08,2.874643489368673e-11,3.5075691810243024e-14,0.0,0.0,0.0
11,0.0,0.9273354258854054,0.0717157348331922,0.0009423409966621721,6.473178113240242e-06,2.504271330644338e-08,6.381061013126913e-11,1.004955702947167e-13,0.0,0.0,0.0
12,0.0,0.9165505526082489,0.08217091784880845,0.0012684657025751151,1.0018087914054769e-05,4.56174202526454e-08,1.347712406609259e-10,2.5941652573567904e-13,0.0,0.0,0.0
13,0.0,0.9051287579998106,0.09318633394518602,0.0016697516123188986,1.5076663878544275e-05,7.950724059184611e-08,2.7094481835400396e-10,6.175749026325965e-13,0.0,0.0,0.0
14,0.0,0.8931025150925122,0.1047195068910244,0.0021557259992706487,2.21180554586215e-05,1.3343980949297561e-07,5.20543863240598e-10,1.3774793204220502e-12,0.0,0.0,0.0
15,0.0,0.8805058025375448,0.1167261240914295,0.0027361484242193015,3.1707246412273933e-05,2.16737317723968e-07,9.601620813997243e-10,2.909595209999197e-12,6.1222443961119285e-16,0.0,0.0
16,0.0,0.8673739704240335,0.1291602350895742,0.003420935700749108,4.4515031414606834e-05,3.4204048541238685e-07,1.7078715579571014e-09,5.8632991459712946e-12,3.849061150688128e-15,0.0,0.0
17,0.0,0.8537436012563939,0.14197445680566714,0.004220084992650905,6.132783023473557e-05,5.261627798771036e-07,2.9409144029835487e-09,1.1340867908756245e-11,1.3759289485006821e-14,0.0,0.0
18,0.0,0.8396523667297415,0.15512018450056453,0.005143595530111332,8.305721409314294e-05,7.910851447473891e-07,4.919146871844891e-09,2.1154921514632932e-11,3.8167409702188104e-14,0.0,0.0
19,0.0,0.8251388809605736,0.16854780742550565,0.006201389440954589,0.00011074901844673195,1.165100648770809e-06,8.01556611641096e-09,3.820802005504508e-11,9.107818772060682e-14,0.0,0.0
20,0.0,0.8102425508440079,0.18220692809905012,0.00740323219971827,0.0001455919171383689,1.684117404473703e-06,1.2755443196860586e-08,6.703435708984102e-11,1.9770258663552743e-13,0.0,0.0
21,0.0,0.7950034242195622,0.19604658413744816,0.008758653200786075,0.00018892533459853207,2.3931268589597542e-06,1.9865779366797192e-08,1.1455991682452755e-10,4.014093859290523e-13,0.0,0.0
22,0.0,0.7794620365347393,0.21001547155545694,0.010276866962154626,0.0002422465755948688,3.3478431173447606e-06,3.033700211643971e-08,1.9115510379294592e-10,7.736899475147138e-13,0.0,0.0
23,0.0,0.746350960971889,0.2396795323031184,0.013577206199638767,0.00038602605870016775,6.206413234681354e-06,6.756062301448507e-08,4.902199751517017e-10,2.5675110529825e-12,1.9802647625346526e-15,0.0
24,0.0,0.7302108924462113,0.2536860057146421,0.015616088485533908,0.0004785662371519563,8.348913827247731e-06,9.742630479133777e-08,7.719361662273421e-10,4.378966142587781e-12,6.2628960056145155e-15,0.0
25,0.0,0.7139340524188148,0.26761611893559356,0.017850053328713977,0.0005885339055737978,1.1101346918842785e-05,1.388630388632066e-07,1.1939840296731925e-09,7.3390028360091e-12,1.5460504409740064e-14,0.0
26,0.0,0.6975609830730797,0.28142032504280123,0.020285622938026427,0.0007182691234559248,1.4602347345446148e-05,1.95646675676927e-07,1.8164954626152892e-09,1.207841052803725e-11,3.3617093477201865e-14,0.0
27,0.0,0.6811317981693534,0.2950500495003905,0.022928572184440194,0.0008702903033580257,1.90145359608399e-05,2.7256526169653523e-07,2.7216324953154845e-09,1.9526589011212315e-11,6.772337048512038e-14,0.0
28,0.0,0.6646860387859262,0.3084578933093584,0.025783867869949025,0.0010472930088373453,2.4527340287475905e-05,3.756340982175067e-07,4.020372196877309e-09,3.103377099731661e-11,1.2881999679618244e-13,0.0
29,0.0,0.6405461451309863,0.32736092432472125,0.030689674417455785,0.0013672127577478571,3.5437711812508675e-05,5.985624580127545e-07,7.033264610595953e-09,6.123762336622811e-11,3.068644440071735e-13,0.0
30,0.0,0.6241891283475244,0.3400416954223856,0.03410261395576262,0.0016210008328851693,4.474648193748349e-05,8.047972323896533e-07,1.0068292559348017e-08,9.34408201780336e-11,5.29354043260934e-13,0.0
31,0.0,0.6079469331648372,0.3523471576799928,0.03773801453028048,0.0019107297688033746,5.6078386807565735e-05,1.0720725382423075e-06,1.4255130059971418e-08,1.4071233370709226e-10,8.877160331159913e-13,0.0
32,0.0,0.5918549314084527,0.3642374287087044,0.04159657571859921,0.0022398450665585034,6.978329087058693e-05,1.4156224868135702e-06,1.9973580138203976e-08,2.092834487788212e-10,1.4532543088145515e-12,0.0
33,0.0,0.5759472142876136,0.3756747719398265,0.045677942195200286,0.00261193397922077,8.625577871045393e-05,1.8537987467085067e-06,2.771069355977509e-08,3.076462926921291e-10,2.3296162954379404e-12,5.263167994267723e-16
34,0.0,0.5602564830792981,0.3866237403790625,0.04998067707109637,0.003030713729254331,0.00010593863517153855,2.4085690079190367e-06,3.808616467046646e-08,4.4726509806462607e-10,3.664464235149976e-12,2.676059603568161e-15
35,0.0,0.5448139470686647,0.3970513084457625,0.054502241464884756,0.0035000180763535256,0.00012932634094087327,3.1060716209584976e-06,5.188260452964236e-08,6.434788262808423e-10,5.668431931661008e-12,8.20033386535348e-15
36,0.0,0.5296492291388656,0.4069269913366481,0.05923898046850555,0.004023782265046915,0.00015696855471637828,3.977229505520833e-06,7.008140503162892e-08,9.166376842978785e-10,8.636233339660942e-12,2.0059289362593138e-14
37,0.0,0.5147902793632069,0.41622295142033716,0.06418611563292624,0.0046060263946969306,0.00018947355108962937,5.058426208573448e-06,9.390497635453886e-08,1.2935241129989011e-09,1.2978811933841578e-11,4.224280083015762e-14
38,0.0,0.500263296911171,0.4249140912380747,0.06933774406012488,0.0052508372677726465,0.00022751158144654294,6.392246726190558e-06,1.2486620994882285e-07,1.809117102865626e-09,1.926276006461268e-11,8.071020938736513e-14
39,0.0,0.486092660537081,0.43297813275701985,0.07468684414832068,0.005962348785362006,0.0002718181235532854,8.028285383093395e-06,1.6482609004569727e-07,2.508768957765516e-09,2.8262477597843876e-11,1.4466222539545797e-13
