time_step,avg_weight_mean,avg_weight_std,avg_weight_min,avg_weight_max,num_strings_mean,num_strings_std,kept_norm_mean,kept_norm_std
0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
1,1.002453506134032,0.0030164297318753465,1.000438584955845,1.0363783762247178,16.0,0.0,1.0,2.436427366409291e-16
2,1.0080939369525383,0.0062424727546383195,1.0017534744920944,1.0619102987848936,41.64,3.9857747051232284,1.0,3.395540482437347e-16
3,1.0175915016999961,0.0110857623273129,1.003942075776232,1.0846672850695265,52.132,6.1332353615363635,1.0,4.727125737226541e-16
4,1.0303104936064038,0.015369659503409128,1.0070000779443764,1.1125283702111664,60.577,6.594548581972845,1.0,6.597471715796418e-16
5,1.046022045421541,0.021127069042092113,1.0109214678373093,1.1841792019164048,68.133,8.040230780269926,1.0,8.670479321952046e-16
6,1.0648307350938133,0.02676028879500246,1.0185119485235747,1.2183229670843996,75.593,8.043839319628411,1.0,1.1018592972744158e-15
7,1.0867340581903617,0.03297046569895855,1.0281945094702296,1.296069704131747,82.458,8.150719968199093,1.0,1.33758608434794e-15
8,1.1121198391164548,0.039481933982195856,1.039109744788844,1.333185126814196,88.793,9.409790167692371,0.9999999999999999,1.5299985073315517e-15
9,1.1404101413610421,0.04518578208964182,1.0568637839447692,1.3557378663698056,95.918,10.276734695417595,0.9999999999999999,1.816265148707084e-15
10,1.1700133970676019,0.05092215366144803,1.0669024745148439,1.386808972529928,102.027,9.882928260389235,0.9999999999999999,2.1276259123608333e-15
11,1.2013110379435716,0.05670981015234351,1.0832777724114415,1.4206019379847759,107.844,9.82118444995306,0.9999999999999999,2.4364374844421293e-15
12,1.2342785660579878,0.06244779448889562,1.1077213499309007,1.4783533772099924,113.503,10.493044886971546,0.9999999999999999,2.7564246463092806e-15
13,1.2704030609736305,0.06847187857446202,1.1352255385888619,1.5681328547045936,119.628,11.548316587277988,0.9999999999999998,2.961431213473156e-15
14,1.3071990460040277,0.07345045417278398,1.1506062784548778,1.6236195519209613,125.682,11.98511059606878,0.9999999999999998,3.3393692608052197e-15
15,1.345088929861899,0.07780119011972196,1.1656660483747296,1.6481224943006794,131.494,12.08155470127911,0.9999999999999998,3.7032254118679864e-15
16,1.3843789010880523,0.08114675520389653,1.19879619014938,1.7005112778534475,137.522,12.374308707964234,0.9999999999999997,3.953037906935385e-15
17,1.4242325461846665,0.08427176705926699,1.2396041033536045,1.7586481543460966,143.261,12.770390714461323,0.9999999999999997,4.297347648651311e-15
18,1.4648252163358189,0.08585551347583183,1.2669584212553593,1.7867833830155553,149.178,12.634884882736365,0.9999999999999996,4.589790084669389e-15
19,1.5056284548840428,0.08920595907188676,1.2863837507584077,1.827893906152091,154.917,12.908451146438916,0.9999999999999996,4.9404487989330004e-15
20,1.5464564432325971,0.0910934214171857,1.3051237807839366,1.8967510079761345,160.355,12.52305773363678,0.9999999999999994,5.169654298878881e-15
21,1.5874336415684023,0.09356869535181021,1.3549574158814133,1.9529221682819702,165.641,12.15557974758916,0.9999999999999993,5.4232536773676974e-15
22,1.6288889029854086,0.09607195142877828,1.3822501988068772,2.0300437389165333,170.513,12.008156852739711,0.9999999999999993,5.747493887913057e-15
23,1.6682500253347987,0.0959249258356169,1.4127273266713445,2.081573542750663,175.041,11.170376851297377,0.9999999999999992,5.905209370351036e-15
24,1.7092474057501117,0.0967724959489415,1.443706266392853,2.1139451308655315,179.364,10.14679772144887,0.9999999999999991,6.005176738335409e-15
25,1.7495122311201834,0.09778885053798397,1.464523874971197,2.151080624728561,182.889,8.823983170881508,0.9999999999999991,6.193168951208977e-15
26,1.7892796083004716,0.0965517052939525,1.5278658014834174,2.172567008050071,185.884,7.251933811060296,0.999999999999999,6.204465256635653e-15
27,1.8290981730928701,0.09595807164136731,1.548864293157631,2.233382467986436,188.419,5.882808767927123,0.999999999999999,6.291444922338754e-15
