time_step,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.5476256348846102,0.45227518372342973,9.917595363246481e-05,5.4383277399606684e-09,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.5030603591278443,0.4965097665461021,0.00042837237575854797,1.5012039540392442e-06,7.453269969783179e-10,1.0136573635375475e-12,0.0,0.0,0.0,0.0
3,0.0,0.5009847443203457,0.49804280814015195,0.0009699960358998563,2.4488726774813153e-06,2.6283353330244318e-09,2.588743939556169e-12,5.240715113026338e-16,0.0,0.0,0.0
4,0.0,0.49912994283326007,0.49913455662128153,0.0017309863510013295,4.506981627879649e-06,7.204798374688869e-09,8.026118733058918e-12,3.9058665765945714e-15,0.0,0.0,0.0
5,0.0,0.49749917885072126,0.4997821508891793,0.002710264494026544,8.388437851134476e-06,1.7304240973148167e-08,2.396200745339708e-11,1.788303223474648e-14,0.0,0.0,0.0
6,0.0,0.4960943611642807,0.499984842842367,0.003905741402079156,1.5016552838811449e-05,3.797319423713659e-08,6.517277767246675e-11,6.614899612571745e-14,0.0,0.0,0.0
7,0.0,0.494916081577184,0.49974399505184874,0.005314325606623724,2.552005235589209e-05,7.754993415100848e-08,1.6184198374028567e-10,2.1037265113057723e-13,0.0,0.0,0.0
8,0.0,0.4939636199523411,0.4990630675736095,0.0069319368335821,4.1226289941525576e-05,1.489785700886865e-07,3.713585336025451e-10,5.95937071289276e-13,0.0,0.0,0.0
9,0.0,0.4990568953510632,0.4920854026700209,0.008760483629637678,9.664407240272848e-05,5.719091739118384e-07,2.3629147220739767e-09,4.780154986722514e-12,5.197001552809761e-15,0.0,0.0
10,0.0,0.5424970950482252,0.4464738704817651,0.010665741814194277,0.0003598895253245892,3.354520378200329e-06,4.8538267568491136e-08,7.142645348419367e-11,4.16625521675811e-13,0.0,0.0
11,0.0,0.6371295364664278,0.34955709827419423,0.012318996024963872,0.0009825301308000105,1.1416355091911264e-05,4.221434623758631e-07,5.974073185252405e-10,7.64679030457416e-12,3.469787100746325e-15,0.0
12,0.0,0.6439421175261845,0.3408831767385046,0.014081403801624178,0.0010777664407180699,1.5035786878932814e-05,4.984447632837974e-07,1.2511123357373376e-09,1.0200200243805836e-11,1.1963567321367958e-14,0.0
13,0.0,0.6505816883146103,0.3322932380388293,0.01591774797889381,0.0011871730079859005,1.9553459094223176e-05,5.96896959222172e-07,2.288764441362924e-09,1.4830893592115577e-11,2.985510906245429e-14,0.0
