time_step,site_0,site_1,site_2,site_3,site_4,site_5,site_6,site_7,site_8,site_9
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,4.680264270326637e-06,0.04222509613972772,0.9995445821600906,0.0002146247382274236,0.0,0.0,0.0
2,0.0,5.625525520529573e-14,5.132302179473736e-10,2.00683028625271e-05,0.048343947474000455,0.999400967022345,0.0008568697706321765,2.3536638683664096e-08,2.580960995134293e-12,0.0
3,0.0,9.322956675454494e-13,4.839033904028062e-09,4.828176051625822e-05,0.05484666057810296,0.9992256761437612,0.0019237746488352113,2.1156758271989656e-07,4.1254906970850364e-11,2.748530447707002e-16
4,2.5892598821692993e-14,1.9058291292533317e-10,1.5063276514773822e-06,0.00013855264671918912,0.20446724099271876,0.9883173359967831,0.0033242058876903294,6.036359932246958e-05,7.690724453834889e-09,1.181919265416631e-12
5,9.356155004978328e-14,7.80489034363259e-10,1.8220759801227922e-06,0.0002808843707035743,0.21616114125484162,0.986848102252132,0.005102794707505529,7.001392818825787e-05,3.072953229217391e-08,4.021328449878918e-12
6,3.604953930208469e-13,1.926925869704178e-09,2.3246327634272e-06,0.00047954371982722633,0.22805515986407024,0.9852497832267353,0.0072530134824185955,8.299528261190911e-05,7.325525497914605e-08,1.4750860875646617e-11
7,1.8328483582087417e-11,6.217123283025475e-09,1.120282840031252e-05,0.0007915315830086611,0.3291936202863534,0.9672255552165689,0.009659146776009517,0.00026140644672155504,1.9310137982465672e-07,7.007935002267233e-10
8,7.099421702073983e-11,1.6634110486696328e-08,2.3081340845538993e-05,0.0012272176046886907,0.39594086417161856,0.9503274407733187,0.012313741117024057,0.0004504454625843304,4.3650881600633255e-07,2.439544896686702e-09
9,9.67446796919578e-11,3.347155274537297e-08,2.6701513623213867e-05,0.0017705016478127662,0.40943133645271385,0.9463416334866729,0.015274109474724134,0.0005001581127599755,7.994667682056464e-07,3.1683017622361317e-09
10,1.1963481545298596e-09,8.680669475128934e-08,0.00011634517460888154,0.0025627757206853163,0.5825901513402079,0.874651207394122,0.018171177123008687,0.0014955874872379397,1.6731518696998166e-06,3.128000464895549e-08
11,8.447109234981309e-09,2.5154903627521265e-07,0.0004141437450905791,0.0036968903578864475,0.7963190533653629,0.6988282878370654,0.02058805183160098,0.004027789936657285,3.738416117864828e-06,1.820099233709054e-07
12,9.511650074111969e-09,5.15488586576414e-07,0.00043887862440577055,0.005078134479949664,0.8054823631257819,0.6874216601112202,0.023148132623095417,0.0042004174163658295,6.752350871053298e-06,1.9923048482286498e-07
13,1.115326072766297e-08,8.889364159954071e-07,0.00046922091782123016,0.0067116709209590454,0.8143901155354349,0.6758553208347322,0.025839715736038712,0.004389090537329037,1.0776971851783172e-05,2.2385372668241013e-07
14,1.3502701779893123e-08,1.3846075791742608e-06,0.00050568904219844,0.008602378521591843,0.8230389909921447,0.6641397377182688,0.02865427123434582,0.0045943843117247675,1.5880352560254608e-05,2.5716258505092946e-07
15,1.673626568897767e-08,2.017823521994635e-06,0.0005488816443021222,0.010754801673622763,0.8314261388418572,0.652285856491397,0.03158326607453049,0.00481689843417103,2.213675838899864e-05,3.007961545459183e-07
16,2.1081897675978356e-08,2.8067413642145135e-06,0.0005994790867002397,0.0131731359634532,0.839549162640986,0.6403050824845282,0.0346181798958621,0.005057253980065211,2.9626783125137008e-05,3.567755526374478e-07
17,2.715175427051642e-07,4.723796103449852e-06,0.0024449541757498396,0.016061854298351615,0.9601109741536917,0.3589548150308198,0.03651360625265614,0.011775559052728667,4.2578921343719936e-05,3.29895753286702e-06
18,2.973220320265329e-07,7.236860360888671e-06,0.0025670790623919556,0.01929193787171076,0.9631598486935649,0.34626212668924977,0.03844744855295127,0.012134621698668342,5.831504434907083e-05,3.5413704157562806e-06
19,3.969065934834194e-07,1.0559488850588734e-05,0.0029926870288584785,0.022867834480730025,0.9712994255441463,0.3090602900200758,0.040264040794076805,0.013270742880933474,7.745678020495881e-05,4.466034444483178e-06
20,4.4438382362060406e-07,1.4643193904154447e-05,0.0031561280834637357,0.02679050460361862,0.9736435187899574,0.2969432708220894,0.04208108186496213,0.01366849455157547,9.978319800926677e-05,4.851652228949014e-06
21,5.038287443019414e-07,1.9552233976617817e-05,0.0033393157360593574,0.031059359518622206,0.975813013868122,0.2850282271782571,0.04388888275636023,0.014082446579697537,0.000125423533018328,5.310814654591516e-06
22,6.4709879678886e-07,2.553054869990771e-05,0.003753038752488551,0.03567560634750213,0.9797517719455138,0.2618480552310624,0.045617431751996104,0.014945944696092669,0.00015490595684218626,6.4174044457008246e-06
23,7.418732604299795e-07,3.253215740457252e-05,0.0039854267610373115,0.04063803013636542,0.9814520781646017,0.25056691772387785,0.04732826558681857,0.015395069600451172,0.0001880610886160336,7.078856078229256e-06
24,8.563822935296959e-07,4.064827051945052e-05,0.004242180627458081,0.04594426298853638,0.9829958344461148,0.2395418736736306,0.04901402702168797,0.015859830389134816,0.00022503037924674794,7.846498583546838e-06
25,1.7374305763334655e-06,5.145581240404589e-05,0.006058068410545613,0.051580167685443684,0.9904593266513787,0.17871960129693468,0.05033364885716116,0.018791155966267317,0.0002686188955929556,1.3830120715850107e-05
26,5.1049233044108795e-06,6.781898093175074e-05,0.011259119340457282,0.05737646201941909,0.9973023233199827,0.08348753889900642,0.050865806155491085,0.02554789846750307,0.0003225261952670517,3.4194735102654534e-05
27,4.8047221832458546e-05,9.416486197492735e-05,0.04908264980632178,0.059080157685857684,0.8991451725994241,0.5316541958494013,0.05018949999362035,0.050795709416323324,0.0003701484989329782,0.00024375612469638535
28,4.917428143495822e-05,0.00013118455413580542,0.049553677100080046,0.06155720470195221,0.8931883592096208,0.5441033935532272,0.05017066646934985,0.05082512547188183,0.0004281950111623945,0.00024744280203678546
29,5.07023370137928e-05,0.00017909867474967964,0.050070477641728735,0.06422535990581475,0.8870091996558114,0.5564686707526809,0.050321716176363364,0.05080624196527718,0.000496599906177432,0.00025189770565350834
30,5.264784350457597e-05,0.00023808020709793946,0.05063310741428628,0.06707708694024614,0.8806079423512332,0.568737471247364,0.05064954964899862,0.0507385860026334,0.0005752789973566154,0.00025713870162801227
31,5.503104150725655e-05,0.00030831562773302016,0.05124163704987989,0.07010470709103477,0.8739853125419954,0.5808976134514862,0.05116089458333392,0.05062178628176027,0.0006641213968036609,0.00026318615471562524
