time_step,avg_weight_mean,avg_weight_std,avg_weight_min,avg_weight_max,num_strings_mean,num_strings_std,kept_norm_mean,kept_norm_std
0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
1,1.1083361567381649,0.13701563974487907,1.000438584955845,1.5208560228956929,16.0,0.0,1.0,2.582074213550408e-16
2,1.2387551840724458,0.16546127890790954,1.0067637488618018,1.5440960043490874,58.176,4.6971293360945445,1.0,4.051325364526364e-16
3,1.3327719309219583,0.15244866286337044,1.0118672980349437,1.5644488058280903,96.684,14.549575388993318,1.0,5.6359539908333e-16
4,1.371398875054656,0.14825189866796662,1.0189382022318512,1.597419560044803,120.193,18.330514204462467,1.0,7.963403079941294e-16
5,1.3686447080436461,0.16070023307573097,1.02116008199615,1.6354975121535866,141.675,19.255943887537704,0.9999999999999999,1.0231595179067703e-15
6,1.347602841086504,0.1734812025602197,1.0267687808293087,1.6609349474368051,160.466,17.574437231388114,0.9999999999999999,1.3671214377832448e-15
7,1.340558363941915,0.17198216255728543,1.055041668577525,1.6947295245565928,174.436,14.877563779060061,0.9999999999999999,1.6296092420321726e-15
8,1.3563366741608163,0.1704099882478863,1.0580432301058822,1.7647237588319316,184.649,10.89879805299648,0.9999999999999999,1.8435219057726144e-15
9,1.3917001779620015,0.16610135747102123,1.075150033860421,1.7663307193524642,191.213,7.751879191525109,0.9999999999999999,1.9170501011437077e-15
10,1.4406113884416305,0.17041320066112822,1.098929228232855,1.9082490967940988,195.222,5.380401100289822,0.9999999999999999,1.9624365746517158e-15
11,1.4842828768652219,0.1723487856814685,1.1121552079815138,1.9289126890532051,197.621,3.558280343087101,0.9999999999999999,1.984472026593314e-15
12,1.5236762422649162,0.17945886745437625,1.1197487305568121,2.1047858920478375,198.946,2.2945770852163543,0.9999999999999999,1.9348833605175142e-15
13,1.559819520550085,0.18499384650031708,1.137015241429526,2.141196426419731,199.571,1.2903329027812893,0.9999999999999999,1.9425857509106644e-15
14,1.5902696944166734,0.18593788569094272,1.1608710537575784,2.130361883121387,199.817,0.7193823739847891,0.9999999999999999,1.8850985414272285e-15
15,1.617399488214904,0.18522524381225375,1.1941608528915504,2.1687178726618153,199.916,0.5205228141013635,0.9999999999999999,1.863088542323539e-15
16,1.6478915384512751,0.17542990870618677,1.2163424402784724,2.2290690764219807,199.961,0.2889273265027021,0.9999999999999999,1.805080611303973e-15
17,1.6860666311792798,0.17440924422444326,1.2638040566494113,2.3045406609564356,199.983,0.17524554202603773,0.9999999999999999,1.7398969503490685e-15
18,1.7326154086467214,0.17564729400185977,1.309784777928679,2.367321726277062,199.987,0.14432948416730298,0.9999999999999999,1.70371310749903e-15
19,1.7848333242263965,0.17644011101971646,1.344098047064567,2.4438670846746167,199.989,0.13740087335967013,0.9999999999999999,1.6488550052029162e-15
20,1.8289608357385394,0.18391576746682264,1.3851334016759775,2.483386796383221,199.982,0.19410306540598435,0.9999999999999999,1.6172638272619992e-15
21,1.8765522786687423,0.18818265328080422,1.416933683559831,2.5436152422172196,199.991,0.13007305639524255,0.9999999999999999,1.5809279600506023e-15
22,1.9279794921713984,0.19386119183879436,1.429958809511596,2.5452523489791634,199.998,0.0632139225171165,1.0,1.6172066651159548e-15
23,1.9790068049282172,0.19708147978627347,1.4591431040774785,2.7884129735620657,200.0,0.0,0.9999999999999999,1.5258520092547193e-15
24,2.0332255812192304,0.19073422963171807,1.4896736167968325,2.823784399592913,199.998,0.06321392251711652,0.9999999999999999,1.5236734119260944e-15
25,2.0881744020333377,0.18659809229095653,1.5630941420672684,2.7898210758088355,199.996,0.06311893535223839,1.0,1.5334989437124253e-15
26,2.139840841911684,0.19077268077380805,1.5820734710524544,2.8078112004333673,199.995,0.09473647660748205,0.9999999999999999,1.4848418422606266e-15
27,2.191079112352312,0.19474039904580484,1.579095658946871,2.839292554726105,199.997,0.07064700984471985,0.9999999999999999,1.464821375527116e-15
28,2.247965198084016,0.19773583359112687,1.6139255790264886,2.8702434903700444,200.0,0.0,1.0,1.4515502657637269e-15
29,2.302540893454769,0.1977692123197678,1.75863016476352,2.9143416743342425,199.998,0.06321392251711687,1.0,1.4814968462519413e-15
30,2.358869061169189,0.20161668584938744,1.8138149510450456,2.9986522664998665,199.999,0.03160696125855832,1.0,1.4857754324418778e-15
31,2.4092375192990603,0.20199308748876796,1.8246259433194054,3.0715649444292876,200.0,0.0,1.0,1.4813096359743512e-15
