site,arrival_time_mean,arrival_time_std,arrival_time_min,arrival_time_max,distance_from_center
0,5.551,1.1547289725299152,3,10,5
1,3.358,0.8612990189243188,2,7,4
2,2.146,0.3615024204621582,2,4,3
3,1.0,0.0,1,1,2
4,1.0,0.0,1,1,1
5,0.0,0.0,0,0,0
6,1.0,0.0,1,1,1
7,2.0,0.0,2,2,2
8,2.39,0.5156549233741454,2,4,3
9,4.406,0.88270266794658,3,8,4
