j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g,j,g
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1,1,1,1,1,28,1,1,1,12,1,1,1,31,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,73,1,37,3,1,1,1,1,1,1,44,3,1,1,36,1,1,1,1,1,30,1,1,1,15,1,15,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,11,1,1,2,1,1,1,1,1,1,51,1,1,1,30,1,1,1,10,1,1,1,19,2,1,1,1,1,1,1,2,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,20,7,16,1,1,5,1,1,1,1,1,1,1,1,26,1,6,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,41,1,1,1,32,5,21,1,1,1,8,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,15,1,63,1,8,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,1,1,1,1,1,56,1,97,1,1,2,1,1,1,1,1,1,31,1,1,1,17,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,40,1,1,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,8,1,1,1,1,1,6,1,1,1,1,1,11,1,1,1,1,1,120,1,1,1,1,1,1,1,12,1,4,1,18,1,17,1,1,1,36,1,18,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,13,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1,16,1,1,1,1,1,1,1,1,1,59,1,1,1,5,1,1,1,1,1,1,1,1,1,22,1,1,1,2,1,19,1,36,1,1,1,1,2,45,1,1,1,3,1,1,1,29,1,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,77,1,17,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,17,1,18,1,1,1,1,1,1,1,1,1,40,1,7,1,11,1,1,1,1,1,1,1,1,1,27,1,1,1,1,1,1,1,17,1,1,1,5,1,9,1,1,1,6,1,1,1,1,1,26,1,51,1,9,1,1,1,18,1,1,1,1,1,1,1,36,1,1,1,1,1,21,1,5,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,3,1,1,1,1,63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,1,1,1,1,5,46,1,1,9,1,1,1,1,1,1,1,1,17,1,14,1,3,1,1,1,1,1,1,1,10,1,10,1,3,1,1,1,1,1,1,1,9,1,3,1,1,1,1,1,28,1,1,1,39,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,55,1,1,1,20,1,43,1,32,1,1,1,1,1,1,1,6,1,1,1,31,1,1,1,9,1,1,1,1,1,1,1,7,1,37,1,28,1,1,1,12,1,10,1,1,1,1,1,1,7,33,1,1,1,1,1,1,1,11,1,12,1,1,1,15,1,31,1,22,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,30,5,1,4,1,1,1,1,7,1,1,1,1,1,45,1,31,1,1,1,39,1,50,1,1,1,33,1,4,1,6,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,3,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,10,1,10,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,36,1,1,1,2,1,43,1,29,1,1,1,1,1,17,1,12,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,56,1,1,1,1,1,51,1,6,1,1,1,1,1,10,1,15,3,36,1,4,1,45,1,1,1,19,1,1,1,1,3,1,1,1,1,30,1,1,4,1,1,12,1,1,1,8,1,1,1,1,1,54,1,1,1,1,1,1,1,4,1,24,1,1,1,1,1,29,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,38,1,1,1,1,1,71,1,1,1,1,1,1,3,1,3,1,1,38,1,1,1,3,1,10,1,6,1,49,1,1,1,1,1,1,1,1,1,29,1,1,1,16,1,1,1,1,1,86,1,1,1,1,1,2,1,33,1,1,1,4,1,6,1,1,1,1,1,12,1,1,1,1,1,1,1,27,1,16,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,12,1,9,1,1,1,1,1,23,1,24,1,7,1,1,1,9,1,1,7,1,1,1,1,1,1,1,1,6,1,24,1,1,1,6,5,1,4,10,1,1,1,2,1,1,1,1,1,1,1,1,1,19,1,1,1,47,1,1,1,4,1,28,1,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,5,1,5,1,16,1,1,1,8,1,1,1,1,1,1,1,21,1,1,1,4,1,1,1,1,1,1,1,2,1,14,1,7,1,1,1,2,1,6,1,1,1,3,1,1,1,1,1,10,1,1,1,1,1,33,1,6,1,1,1,23,1,1,1,1,1,28,1,4,5,49,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1,23,1,1,1,33,1,1,1,1,1,1,1,11,1,19,1,1,3,1,1,1,1,1,1,41,1,1,1,1,1,13,1,15,1,34,1,1,1,1,1,1,1,1,1,29,1,1,1,71,1,10,1,1,1,1,1,28,1,1,1,1,2,1,1,1,1,33,1,1,1,1,1,9,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,26,1,24,1,6,1,1,1,1,1,1,1,1,1,14,1,6,1,1,1,68,1,1,1,1,1,1,1,1,1,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1,66,1,52,1,1,1,2,1,49,1,1,1,1,1,1,1,1,1,41,1,8,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,71,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,5,1,23,1,1,1,1,1,24,1,6,1,1,1,1,1,6,1,1,1,12,1,25,1,3,1,1,1,15,1,7,1,43,1,2,1,19,1,1,4,1,1,1,1,1,1,11,1,16,7,1,1,1,1,2,1,1,1,1,1,1,1,17,1,1,1,27,1,1,1,1,1,5,1,1,1,1,1,5,1,11,1,1,1,1,2,10,1,1,1,21,1,1,1,1,1,1,1,13,1,7,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,26,1,48,1,1,1,1,1,30,1,1,3,7,1,1,1,4,1,1,1,1,1,1,1,13,1,1,1,1,1,2,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,12,1,1,1,1,1,1,1,23,1,7,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,25,1,75,1,1,1,1,7,12,1,1,1,1,1,1,1,1,1,1,1,13,1,66,1,1,1,1,1,1,1,17,1,2,1,8,1,1,1,1,1,1,1,1,1,8,1,12,1,20,1,1,1,1,1,28,1,46,1,1,1,1,1,27,1,1,1,1,1,1,1,1,1,1,1,14,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,33,1,1,1,23,1,19,1,1,1,48,1,5,1,1,1,1,1,1,1,61,1,10,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,16,1,30,1,1,2,5,1,38,1,3,1,5,1,1,1,80,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,29,1,47,1,7,1,1,1,7,1,6,1,34,1,43,1,10,1,1,1,36,1,1,1,9,1,10,1,1,1,59,1,24,3,1,1,1,1
9,1,1,1,1,1,80,1,1,1,22,1,1,1,23,1,1,1,44,1,15,1,27,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,54,1,35,1,15,1,1,1,24,1,1,1,1,1,6,1,1,1,16,1,16,1,1,1,10,2,9,1,1,1,36,1,1,1,1,1,23,1,1,1,6,1,1,1,19,1,1,1,1,1,1,1,2,1,9,1,79,1,5,1,1,1,31,1,1,1,29,1,1,1,1,1,1,1,14,1,1,1,6,1,7,1,1,1,1,1,1,1,25,1,1,1,4,1,1,1,16,1,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,43,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,4,7,1,19,2,1,1,66,1,4,1,22,1,20,1,1,1,2,1,1,1,1,1,1,1,1,5,9,1,4,1,1,1,1,1,1,1,1,1,7,1,6,1,1,1,1,1,6,1,1,1,36,1,1,1,1,1,6,1,10,1,1,1,11,1,1,1,1,4,14,1,1,1,1,1,20,1,6,1,35,1,1,1,42,1,1,1,1,1,1,1,1,1,29,1,8,1,1,1,1,1,4,1,9,1,18,1,7,1,7,1,24,1,1,1,14,1,15,1,1,1,1,1,17,1,1,1,1,1,36,1,1,1,7,1,1,1,1,1,1,1,1,1,27,1,1,1,12,1,29,1,1,1,1,1,1,1,1,1,2,1,1,1,5,2,1,1,1,1,1,1,1,1,35,1,1,1,33,1,1,2,1,1,7,1,1,1,1,1,2,1,69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,58,1,1,1,44,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,17,1,1,1,1,1,47,1,70,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,2,6,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,59,1,1,1,2,1,1,1,1,1,1,1,1,4,1,1,23,1,40,1,20,1,25,1,1,1,1,1,1,1,9,1,4,4,65,1,17,1,24,1,1,1,1,1,1,1,1,1,14,1,12,1,1,1,1,1,1,1,1,1,19,1,1,1,1,1,27,1,8,1,1,1,1,1,18,1,45,1,1,1,1,1,5,1,20,1,1,1,1,1,3,1,1,9,1,1,1,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,33,1,39,1,1,1,1,1,1,1,32,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,8,1,8,1,1,1,1,1,27,1,1,1,1,1,1,1,1,1,30,1,1,1,12,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,26,1,1,1,1,1,1,1,1,1,8,1,1,1,31,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,8,1,1,1,1,1,1,1,38,1,1,1,5,1,1,1,1,6,12,1,1,1,1,1,1,1,18,1,1,1,1,1,17,1,1,1,5,1,1,1,1,1,20,1,1,1,1,1,1,1,37,1,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,20,3,1,1,1,1,1,1,1,1,1,1,10,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,13,1,1,1,36,1,3,3,15,1,1,1,6,1,2,1,1,1,18,1,5,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,9,1,3,1,25,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,9,1,1,1,1,1,1,1,1,1,1,1,29,1,5,1,18,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,25,1,12,1,1,1,85,1,21,1,1,1,1,1,32,1,1,1,1,1,17,1,14,1,1,1,8,1,1,1,24,1,1,1,1,1,41,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,22,2,1,1,1,1,1,1,34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,1,9,1,1,1,1,1,1,1,43,1,1,1,22,1,1,1,15,1,2,1,2,1,28,1,1,1,1,2,1,1,47,1,1,1,1,10,10,1,9,1,5,1,26,1,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,22,1,1,1,8,1,1,1,27,1,26,1,1,1,1,1,1,1,19,3,1,1,1,1,1,2,1,1,1,1,1,1,2,1,7,1,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,1,1,1,1,1,1,3,1,1,4,1,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,24,1,16,1,1,1,1,1,1,1,1,1,6,1,4,4,1,1,1,1,1,1,1,2,1,1,15,1,1,1,4,1,1,2,7,1,13,1,1,1,21,1,9,1,27,1,1,1,1,1,18,1,1,1,3,4,1,1,8,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,22,1,1,1,1,1,1,1,1,1,47,1,18,1,1,1,4,1,35,1,1,1,1,1,10,1,1,1,1,1,1,1,1,3,1,1,1,1,17,1,1,1,33,1,1,1,1,1,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48,1,1,1,1,1,21,1,1,1,1,1,13,10,17,1,1,1,24,1,15,1,1,1,4,1,7,1,17,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,28,1,1,1,1,1,5,1,7,1,1,5,9,3,44,1,1,1,1,1,16,1,1,1,1,1,1,1,43,1,1,1,49,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,58,1,1,1,1,1,1,1,1,1,1,1,17,1,62,1,63,1,1,1,1,1,1,1,1,1,12,2,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,12,1,1,1,27,1,1,1,34,1,1,1,1,1,1,1,9,15,34,1,1,1,1,1,1,1,1,1,28,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,10,1,1,4,1,1,1,1,1,1,1,1,1,2,17,1,8,1,1,1,1,5,1,1,7,1,7,1,1,1,1,1,1,4,1,1,1,1,1,1,25,1,1,1,10,1,12,3,1,2,16,1,1,1,46,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,33,1,6,1,1,1,1,1,1,10,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,5,23,1,14,1,1,1,1,1,1,1,1,1,2,1,22,1,1,1,1,1,22,1,11,1,8,1,1,1,1,1,11,1,8,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,3,1,1,1,1,1,21,1,1,1,3,1,40,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,12,1,1,1,1,1,1,1,18,1,48,1,1,1,93,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,25,1,8,1,18,7,1,1,1,7,1,1,1,1,4,1,1,1,13,2,11,1,1,1,1,1,1,1,30,1,1,1,1,2,1,1,1,1,1,1,26,1,1,1,69,1,1,1,1,1,9,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,1,1,1,1,1,15,1,10,1,1,1,1,1,11,1,1,1,1,1,29,1,7,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,16,1,1,1,70,1,1,1,35,1,1,1,1,1,1,1,2,1,1,1,1,1,6,1,1,1
