site,arrival_time_mean,arrival_time_std,arrival_time_min,arrival_time_max,distance_from_center
0,7.56,1.3580868897091962,4,13,5
1,4.746,1.0749344166040995,2,8,4
2,2.735,0.7620859531575186,2,5,3
3,1.0,0.0,1,1,2
4,1.0,0.0,1,1,1
5,0.0,0.0,0,0,0
6,1.0,0.0,1,1,1
7,2.0,0.0,2,2,2
8,2.832,0.8329321701075117,2,6,3
9,5.974,1.0522946355465286,3,10,4
