time_step,site_0,site_1,site_2,site_3,site_4,site_5,site_6,site_7,site_8,site_9
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,2.4049868958326533e-08,0.00021930450021981926,0.9999999759527681,0.0002192804529879832,0.0,0.0,0.0
2,0.0,4.617030270709953e-15,1.0547894811236442e-11,1.1777893381389742e-06,0.0019721059753006124,0.9999980548302946,0.001970737285796935,9.617837709366021e-08,4.2182362920361575e-11,0.0
3,0.0,2.1050550792576567e-13,1.3938420246135969e-09,4.057801520620152e-06,0.007864325540399189,0.9999814133885752,0.003497569555877411,2.9058123046993065e-06,5.925634940950269e-10,4.137729128209078e-14
4,0.0,1.145997553230433e-12,3.4131140878788358e-09,9.596995077736655e-06,0.010689230877141355,0.9999638209884988,0.005455286546743642,5.400146575711485e-06,2.3690002815871218e-09,2.0972438572175038e-13
5,1.5415408041786278e-15,7.29156354467794e-12,2.4235380533194624e-08,2.1555636180846324e-05,0.02169750021508461,0.9998656115886747,0.007832811473672803,2.1555995566113875e-05,9.460628078408839e-09,3.945327423484129e-12
6,6.457366706075072e-15,2.3411164783491178e-11,4.171981996416251e-08,4.02099070649984e-05,0.026196168839910758,0.9997977519760334,0.01063060528831818,3.101189197103581e-05,2.4195793705337607e-08,9.02660349488082e-12
7,1.3223133389337408e-13,2.150145302360321e-10,2.2037882130425948e-07,0.00012003834596545534,0.04819447588107891,0.9993283279761245,0.01742384442897295,9.761349734163869e-05,1.312154140016043e-07,9.051558944169807e-11
8,4.536636266177332e-13,7.227497072155988e-10,3.410581846355773e-07,0.00025196761448658723,0.05465308389053996,0.9990631259580224,0.025831226925418956,0.00012678702950827704,3.5730953754317166e-07,1.7700843438891748e-10
9,1.7934014941002487e-12,2.540949884224036e-09,5.624237987301563e-07,0.0005612934575033861,0.06146398676266598,0.9985882501932485,0.04137683941761677,0.000167485269827102,1.006831409163044e-06,3.8252907682674917e-10
10,8.012778569790981e-12,4.3578483566980236e-09,2.2278145755885394e-06,0.0007150653530221625,0.08391505638050836,0.99758921278444,0.047275985568229525,0.00037372043627421,1.4527784798489456e-06,2.605078536557787e-09
11,4.890605641382381e-11,3.820939253196064e-08,3.1395783168697123e-06,0.002404310121127497,0.09206801768152034,0.9952319601745335,0.09835627924303816,0.0004669111918166401,7.73559398307974e-06,4.050390860112202e-09
12,1.0760365012803322e-10,5.0459573182493436e-08,7.806728298423061e-06,0.0027552724065696686,0.10895324420955767,0.9938366541094621,0.10692219184150818,0.000795048107285918,9.45405083581849e-06,1.4813237555245571e-08
13,1.7330026315067376e-10,6.734317515946091e-08,1.116558157614553e-05,0.00314560288886431,0.11781939398356073,0.9927493892565639,0.11575930484397257,0.0010007840934709393,1.1586885738919434e-05,2.366252953702386e-08
14,5.614797709458249e-10,1.0160792758100714e-07,3.225980432450063e-05,0.003628682013256352,0.15596315455901552,0.9892391217753193,0.12473777771087827,0.002111044801441467,1.5070804686577159e-05,8.759015640226532e-08
15,1.3053745607841538e-09,2.8696994832756914e-07,4.8071826235504914e-05,0.005401340444048731,0.17650501536988664,0.9850864903908159,0.1530248384995222,0.002847616977703437,3.0769264997178074e-05,1.4205599164818617e-07
16,2.841838789508193e-09,7.334567980494165e-07,5.925350163298747e-05,0.008393439156512727,0.18697274740057326,0.9798893414861011,0.19392707517991373,0.0033036751000657897,6.294278842548928e-05,1.8899804844962364e-07
17,3.987208733172859e-09,8.956810984846165e-07,7.480353743572641e-05,0.009265463056510824,0.1974344633742805,0.9774517978561039,0.2046343095770941,0.003859180841220574,7.357265394235547e-05,2.676425559219412e-07
18,6.2678630891164774e-09,1.3156912877433853e-06,9.308544763730783e-05,0.011187947845840629,0.20802948461440265,0.9733559659470562,0.2265030620033753,0.004475018614304472,9.925578289997877e-05,3.6802721471109723e-07
19,8.585674966526896e-09,1.5843196076456766e-06,0.00011545636378674608,0.0122421287277214,0.21868495438872376,0.9704244442674089,0.2376380124868262,0.005172952575339828,0.00011463505129337791,5.045495168757924e-07
20,1.4008598679241591e-08,1.9438809148868e-06,0.00017002338284200478,0.013400042094742843,0.2403846986886001,0.9657302968941897,0.2488007406998433,0.006760816041011534,0.00013357768932238,8.707190904279483e-07
21,1.864291254434971e-08,2.378303183024923e-06,0.00020274106555737492,0.014637700484383282,0.25139721574884455,0.9622810519463301,0.2600437540987632,0.00765508305908289,0.00015531305501988936,1.1095335183047434e-06
22,2.4577492740091696e-08,2.900452555549137e-06,0.00023998706111796992,0.015958104612867657,0.26247826757387066,0.958616041098708,0.2713508136446468,0.008626785895031056,0.000180165548504236,1.3993079866701638e-06
23,4.142305873277196e-08,4.321878851625701e-06,0.0003277977782289897,0.018892324880833918,0.2848728641315561,0.9506260324946854,0.2940249435277902,0.010790930780242828,0.00024238268461045315,2.1370735043438342e-06
24,5.334846121109281e-08,5.2049819173157515e-06,0.0003812453312866285,0.020480260786153014,0.29607824372788055,0.9462967414751554,0.30544069400571183,0.012013449072712975,0.00027888295915180636,2.635849667092676e-06
25,1.125945642886358e-07,7.886697424638274e-06,0.0006466113701599043,0.024117965623720084,0.3415128838086418,0.9319552598410313,0.3278299981167728,0.017658780953207238,0.00037791514039797714,5.3644693951892256e-06
26,1.7314657373568977e-07,1.1566225450871568e-05,0.0008192865860246155,0.028180189110077632,0.3642618832697493,0.9212647437576577,0.3501432177843533,0.020998266139960836,0.0005028849030766494,7.391195535309444e-06
27,3.069331877855376e-07,1.4195941217647997e-05,0.0012608330995562478,0.030465409589402588,0.40955188236596474,0.9060134208665123,0.3609068264362354,0.0287810247468229,0.0005841511268182755,1.3289677008374999e-05
28,4.304900215394994e-07,2.423863426413764e-05,0.0013907311897410266,0.03793835685495694,0.42070233354627407,0.89385094884134,0.3933642750703824,0.030939678588781442,0.0008756890590462503,1.5170436779776368e-05
29,6.099679759760031e-07,3.768639267115662e-05,0.0015432837622384899,0.04628465825206868,0.43150114621927743,0.8805759964261093,0.4256529557952389,0.0332811928979063,0.0012394741524136272,1.764458382646925e-05
30,9.260102118373375e-07,6.154377683154224e-05,0.0017209078692646156,0.058727764763637946,0.44181577251518606,0.8623312450507371,0.4681702481190794,0.03581060791528788,0.0018438488646168824,2.083000824506703e-05
31,1.3826501882552422e-06,6.967852091236543e-05,0.0023912806222181463,0.06216794530823796,0.47222384719681354,0.8475160613510285,0.47824287675658034,0.0443681786363355,0.0020330027186685976,3.4689194012537e-05
32,2.235076266252358e-06,8.016507382715031e-05,0.0034864214361584483,0.06585835541664639,0.5118770318960112,0.8275911536890329,0.4876609814277186,0.057231913450166365,0.0022589644096408885,5.997121317413444e-05
33,2.623772923172713e-06,9.188574734792684e-05,0.003800559569707827,0.06968313148440876,0.5214504316422127,0.8194311552839276,0.49715176840365227,0.06071290678142967,0.0025039506114807207,6.77672290105719e-05
34,3.6896821412677487e-06,0.00010606844897753553,0.004852167055119767,0.07371734980482074,0.5497127960935407,0.8022414643899023,0.505958779691046,0.07180988161376668,0.0027843234714159215,9.545497888700337e-05
35,5.360870357366927e-06,0.000141366731632992,0.006060963603548684,0.08231249409222667,0.5767773771210464,0.7804327508898004,0.522963111834129,0.0838047790987114,0.003439752932555858,0.00012966018294263484
36,6.180083396680692e-06,0.00016165764688238726,0.006517838640364976,0.0868021404687759,0.5853241259620644,0.7717283139512555,0.5313102256291832,0.08805304447340236,0.003802304753025183,0.00014365242737605417
37,7.720389057619723e-06,0.00018491801752793343,0.007505946340205139,0.09146316362167053,0.6021091142340441,0.7581100821330089,0.5391048818071295,0.09688325187744679,0.004201640571354407,0.0001753611681786028
38,1.3979814406445476e-05,0.0003144446494854703,0.010336765104716181,0.11184098243888282,0.6412660420089717,0.7176996541611298,0.5674755549654652,0.12054751506100933,0.006219803655103886,0.0002732521549915285
39,1.5929505163070513e-05,0.0003534528801761054,0.011023157652481281,0.11723786828432252,0.6482363826861516,0.7088695833632969,0.5742755255807775,0.12566461579463087,0.006797908830345361,0.00030036409714479027
40,2.0202416307192665e-05,0.0004885214471961368,0.011747912043847644,0.13414550725310975,0.6541564135244957,0.6923365755756976,0.5945268864930032,0.13088951075826408,0.008724135075028474,0.00033012444097983923
41,2.4724688633756517e-05,0.0005417606455700706,0.013375807088585061,0.14002856925478538,0.6669235629754052,0.6789028997758056,0.6001715713230317,0.14179427779831227,0.00944687521785798,0.00040252797073853585
42,3.0077293280086164e-05,0.0006013436540520487,0.015141462694325649,0.1460598768201405,0.6790282808258069,0.6656057663478617,0.6053868372039408,0.1530623470601901,0.010227188788283569,0.0004853310599918091
43,4.452222804418758e-05,0.0009680049683532367,0.01704987713179238,0.17793128220850127,0.6880394365366954,0.638047489382991,0.6326857052272064,0.16464891810810653,0.014751741626469807,0.0005797859795342829
44,5.727014991617109e-05,0.0010598079541457534,0.020455555549123827,0.1846029016050661,0.7029169489049457,0.6215459428679113,0.6359188816285395,0.18300074762768326,0.01580681696101343,0.0007701871464559225
45,6.736093979306523e-05,0.001261244300951595,0.021677685657298326,0.1982816546192379,0.7062744069069425,0.6105998514754316,0.6449093866388004,0.1892549574817881,0.018059738126493776,0.0008422283407705492
46,8.033772740983358e-05,0.001374954747902658,0.024318853004813016,0.20524618513419374,0.7145249827271722,0.599285300032164,0.6479204941836864,0.20206071854579957,0.019279570696559067,0.001006393671571447
47,9.391910122232655e-05,0.0016235088476473395,0.02571659636456132,0.21947030097876047,0.7170167194530166,0.5891746591789624,0.6556332152915635,0.20854774970719586,0.021874033520543845,0.0010970580505278325
48,0.00010466063642513735,0.001759190067256882,0.027201898721741797,0.22668797833563592,0.720048817618529,0.5824547335980091,0.658820287915479,0.2151353831057557,0.02325037122882715,0.0011976429956408626
49,0.00011646758164282102,0.0019041898344301037,0.02875152588583485,0.23397949541491514,0.7228420374481427,0.5759568216671019,0.6617782881304383,0.22178903571995293,0.024688125291533403,0.0013058657196177903
50,0.0001294291253543739,0.002059008740375441,0.030367027428783548,0.24133994053371483,0.7253978962790576,0.5696888009982344,0.6645084420568431,0.22850437300650234,0.026188734497982754,0.0014221750416929463
51,0.0001591332541506616,0.002404750012417557,0.03377352693453062,0.256254888074565,0.7298964270874657,0.5578603644360275,0.6691876701896009,0.24209155730123566,0.02940825763899423,0.0016770517567568234
52,0.00018649402883645573,0.0025974890212605056,0.03745920378095875,0.26375992659436803,0.7347500100412714,0.5493618273913443,0.6700541931246682,0.25590050463568376,0.031130767147055146,0.0019690922628281043
53,0.0002576662848148781,0.0037250676285089847,0.041372547209510405,0.30223136295805886,0.7333236506859627,0.5331620023052095,0.6806226827031155,0.269715628219624,0.04067651662856562,0.0022952406288703035
54,0.0003424938294529023,0.004558264227668346,0.04804013123542101,0.3255672350500225,0.7348971891720851,0.521288235062473,0.6828258073190666,0.29079134712873167,0.047200220593268304,0.0029079828351555683
55,0.0004118236150065172,0.005189085948743988,0.05291885907593939,0.3411668961916937,0.7347890764510422,0.5147601915568467,0.68336048936276,0.3049039625488175,0.05189930505182499,0.0033913350050762624
56,0.0005127352708204312,0.006258741319286164,0.05813130725697932,0.3646150353615169,0.7318703556429123,0.5082589737180824,0.6843377137896918,0.31894678470049515,0.059485186377250504,0.003938049255990779
57,0.0005599657676601066,0.006645654205817087,0.0609125805237544,0.37238733474598473,0.7309258865831108,0.5060990414223545,0.6838954746338142,0.3259666800026201,0.06213966222892362,0.004246085593328807
58,0.0006109512920810404,0.007053062686681409,0.06378213887386885,0.38013155052245845,0.7297867354383987,0.5042104060393288,0.6832643959651725,0.33297228716629884,0.06487293124698763,0.0045725891757475105
59,0.0006915513481778339,0.007921054541554957,0.06673907064846975,0.39564681095642534,0.7262445482020948,0.5019377374704889,0.6831861429404462,0.3398542195541695,0.07054625869965452,0.004919876317809117
60,0.0008893928087623436,0.009414000690882066,0.07615553277980676,0.4183976230403927,0.720986015122336,0.4990107932549063,0.6792576078435735,0.36062641250719973,0.07970510661591679,0.006080740486673701
61,0.0010376785099989608,0.011058837600220589,0.07950117583865199,0.44109598058209304,0.713787119123133,0.4983497261935017,0.6779071132111922,0.36714743877195305,0.08939086228322532,0.0065248389090262005
62,0.0013169873247708718,0.012952176455686318,0.09020376007555714,0.46287728595260086,0.7058028009992262,0.49907484441236954,0.6717031477017781,0.38716398656666845,0.09979018120679564,0.008018900367371525
63,0.0014856876969833062,0.013645138476212716,0.09784194806940702,0.4697644599831463,0.7024298858938592,0.5002219377852354,0.6673991355123289,0.40038362638630703,0.10341224307824429,0.009156252202212457
64,0.0016730801649889058,0.014384750318292014,0.10579835913163721,0.47647723014948806,0.6987267192001435,0.5018517083132716,0.6627837313309507,0.4134466665267686,0.10714528427855967,0.010389324530149265
65,0.0018803858715517282,0.015172932988687743,0.11406510934886623,0.4830038416494856,0.6947087519844876,0.5039394029177925,0.6578738203736826,0.4263269050134111,0.11098801441646257,0.01172118017128758
66,0.002249960049663499,0.017735632371492616,0.1226189253726549,0.5029740524601041,0.684737718954203,0.5081704422260354,0.6507339979436763,0.4384716908192524,0.12300384430258506,0.013165504477906058
67,0.002497430399919563,0.019577895439975443,0.12706697571602787,0.5160137320158468,0.6779782063939581,0.5111713631780873,0.646352679513212,0.4441567425675393,0.13130882793685095,0.013960410620008006
68,0.0028979808474470714,0.02059587651566538,0.14098378316610258,0.5214134772744995,0.6717142950172633,0.5159618204789223,0.6384977530081374,0.4621504133864468,0.1356016964218252,0.01652927041445516
69,0.0031064956575894255,0.021645156862052702,0.14576013350258413,0.5273606233004061,0.6675683528923827,0.5184778310068641,0.6348929536048976,0.4677940138568192,0.13998013246157748,0.017450773638000204
70,0.003431442644905833,0.023845989256127794,0.1506064147135171,0.5393437357400213,0.660392252995674,0.522377658108529,0.6297215634591873,0.47295496999693715,0.1489337310934634,0.0184195370615742
71,0.004376935303113685,0.02636679548798377,0.1760041280205169,0.5485495074195066,0.6472960647016571,0.5329584896244656,0.614968031560443,0.5003932551146478,0.15827385815744635,0.023718813085164908
72,0.005250109358077576,0.033178466869804094,0.18118899651443543,0.5756302140670317,0.6311170208340796,0.5420210207618696,0.6036947423710208,0.5034004410617408,0.18261716479335585,0.024945589520081662
73,0.005595188715556667,0.03465441532074227,0.18661119159250494,0.5803223404609394,0.6264626968690681,0.5453164181246245,0.5995991617090206,0.5079023433615032,0.1876081128528526,0.02623842966962949
74,0.0061649758233092026,0.036216831116896164,0.19766821786024558,0.584157309074,0.6200494470962937,0.5504636703005998,0.5932660260670908,0.517153481642167,0.19265745425903266,0.028936415711232538
75,0.0074889946985316706,0.03796601926195217,0.22621944250160944,0.5852316561212615,0.6080571010892276,0.561242421496399,0.5802375636233963,0.5398986436890888,0.1977508732200795,0.03627565177047083
76,0.009023732082492882,0.0398679912369573,0.25569552901781495,0.5851612602579316,0.5957280744391562,0.5721694943591552,0.567217143613697,0.5608984452907575,0.2028943252603688,0.044428613849446894
77,0.009549296722010877,0.0417668398193996,0.2616477785183619,0.5883692497104853,0.591239253570026,0.5755979958499906,0.5630607843249394,0.5643242731351001,0.2082119623421267,0.04618195536855689
78,0.010630801505377013,0.047739925874144065,0.26754054126828775,0.5993521142586724,0.5819100863083877,0.5820694705934185,0.5549690892494592,0.5661554382255618,0.22449788821969194,0.04804169452486975
79,0.013403223121695054,0.05011876692876588,0.3103672744768935,0.5947546834602387,0.5656737081864772,0.5961491849995783,0.5391557808527756,0.5899777189987813,0.22964112823339347,0.061843580176743365
80,0.014119679453796156,0.05242395976906643,0.3164640972303082,0.5967592947681736,0.5615784165166335,0.599296990403107,0.5354193373951524,0.5923782402120172,0.23513563127260398,0.06397552203624655
81,0.015288224281338436,0.05484796034531164,0.32872637712508423,0.597194600089495,0.5556041073944185,0.6040721977215836,0.5299807019849152,0.597617667689778,0.24057794158264828,0.06834071440683495
82,0.016085764329749355,0.05731525267203964,0.3348215383766636,0.5987889807865486,0.5517067036372718,0.6070523369831635,0.5264813383102113,0.5996376453110243,0.2461175451411507,0.07061057441707903
83,0.016919812682661635,0.05985575959227541,0.3409126135334562,0.600230494141543,0.5478946083227928,0.609957226164523,0.5230874061949031,0.6014997525923838,0.25167994890792245,0.07293806903715899
84,0.0182078614606208,0.06510295286223339,0.34690989133364625,0.6042118284082096,0.5423788349210383,0.6139853702997486,0.5181670877064176,0.6022705475067479,0.2629662054168605,0.07536917717478384
85,0.019143464575627964,0.06784612581330941,0.35298437032954627,0.6052987821794739,0.5387971516234343,0.6166843666747883,0.5150575052667753,0.60372447694888,0.26859370321587284,0.07784721566874195
86,0.0211317160653198,0.07357442128400048,0.3650783322808212,0.6069620008914345,0.5319614378524303,0.6218096990929837,0.5092051563923347,0.6062311235996408,0.2798641622830502,0.08295128015029905
87,0.022772363332232162,0.07660710197225101,0.37720545382246384,0.6059189075401888,0.5270419973162785,0.6255851879424402,0.5052295925922909,0.6092002560934111,0.285378556915635,0.08823665357621036
