time_step,avg_weight,std_weight,num_strings,kept_norm,total_norm
0,1.0,0.0,1,1.0,1.0
1,1.0010960776839959,0.03309472625290055,16,1.0,1.0
2,1.0028479664292536,0.05331823880774839,39,0.9999999999999999,0.9999999999999999
3,1.007432805808881,0.08599041227153628,43,0.9999999999999993,0.9999999999999996
4,1.0161251430788079,0.12632126978658897,55,0.9999999999999988,0.999999999999999
5,1.0322488336409759,0.17766928516513125,64,0.9999999999999996,1.0
6,1.0499835318497082,0.21967308502088526,75,0.9999999999999983,0.9999999999999987
7,1.0781369548028792,0.27145106920108153,81,0.999999999999998,0.9999999999999981
8,1.108451732347031,0.3163364199612361,87,0.9999999999999979,0.9999999999999982
9,1.1211350026632974,0.3329807396907135,87,0.9999999999999977,0.9999999999999978
10,1.2496205234593198,0.45131383713362816,114,0.9999999999999982,0.9999999999999986
11,1.2724594254794082,0.46915711812194144,114,0.999999999999998,0.9999999999999983
12,1.2966941955352171,0.48710418316628523,118,0.9999999999999971,0.9999999999999977
13,1.3302507752242176,0.511236195805856,124,0.9999999999999972,0.9999999999999974
14,1.3767248056950732,0.5401657677192145,133,0.999999999999997,0.9999999999999971
15,1.4168370734683058,0.5596782237796113,139,0.9999999999999971,0.9999999999999976
16,1.4363924900098297,0.569814139789614,139,0.999999999999996,0.9999999999999961
17,1.515663236796723,0.6031968469481711,159,0.9999999999999966,0.9999999999999969
18,1.544579440260801,0.6153172891398685,159,0.999999999999996,0.999999999999996
19,1.5830270288838935,0.6326844081931771,161,0.9999999999999954,0.9999999999999959
20,1.6110676819172993,0.6443697031940617,163,0.9999999999999951,0.9999999999999956
21,1.6570544609486493,0.6646090885848939,173,0.9999999999999938,0.9999999999999944
22,1.6862792523390608,0.6787177647907932,176,0.9999999999999932,0.9999999999999933
23,1.7494042601692175,0.7096159155978776,183,0.9999999999999931,0.9999999999999934
24,1.782840950249294,0.7255935992367367,190,0.9999999999999942,0.9999999999999942
