time_step,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.9989041146094847,0.0010956930759387629,1.9227239408763312e-07,4.2182389789870314e-11,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.9960610461055737,0.003936025130356881,2.9277080584159027e-06,1.0558074845694493e-09,2.03343925423192e-13,0.0,0.0,0.0,0.0,0.0
3,0.0,0.9858641910962639,0.014107522738435201,2.8244638543022175e-05,4.1507549911290755e-08,1.9201162353676245e-11,6.5202796940338745e-15,0.0,0.0,0.0,0.0
4,0.0,0.9783428752908495,0.021574136381690947,8.283479941903531e-05,1.533551253749051e-07,1.7279861221498746e-10,1.1596321699553726e-13,0.0,0.0,0.0,0.0
5,0.0,0.968767743115536,0.031043355373834902,0.00018836309919463242,5.376183241276726e-07,7.920685288820203e-10,1.0412987849480625e-12,0.0,0.0,0.0,0.0
6,0.0,0.9528401530601762,0.04672532557120466,0.00043261058063838724,1.9063374624215677e-06,4.442311039322273e-09,8.202690215865407e-12,3.858110720698257e-15,0.0,0.0,0.0
7,0.0,0.943755762763655,0.05562350196433886,0.0006174473951390821,3.2784890248242186e-06,9.367868355460049e-09,1.9956175583131545e-11,1.6536654657156123e-14,0.0,0.0,0.0
8,0.0,0.9062643556948077,0.09194044688037606,0.0017765269286336557,1.8602130271121343e-05,6.801169881631703e-08,3.5380983096151165e-10,4.0039844373037183e-13,9.437425964338304e-16,0.0,0.0
9,0.0,0.8942151005402201,0.10349437410628502,0.0022640793497297656,2.632650338487915e-05,1.1889706865001908e-07,6.022771631170332e-10,1.0303195704887209e-12,1.9480474129182957e-15,0.0,0.0
10,0.0,0.8746407363348606,0.12213563618014842,0.003177869266366644,4.551887748118025e-05,2.3787862692444086e-07,1.4594496784224706e-09,3.056183449201056e-12,7.862138810013886e-15,0.0,0.0
11,0.0,0.8612416360336324,0.13478265151208227,0.003913959647959349,6.136575749324516e-05,3.8465683093496454e-07,2.3854550914347427e-09,6.527820372828991e-12,1.6159750306464944e-14,0.0,0.0
12,0.0,0.8330374680523616,0.1610963366844936,0.005757220228824642,0.00010805490083742133,9.137187100536497e-07,6.38997419321543e-09,2.4720009943910846e-11,7.509305062302798e-14,0.0,0.0
13,0.0,0.7322824411023102,0.25124223106291865,0.01597538464718657,0.0004912323847272753,8.61252037527759e-06,9.755337713050588e-08,7.253468533968494e-10,3.742457148915784e-12,1.1808063158561882e-14,0.0
14,0.0,0.7078408577633294,0.27199884538367114,0.01947910431020907,0.0006678703396945619,1.315490139627468e-05,1.6586977256543098e-07,1.4233078601311107e-09,8.583251479534092e-12,3.1853064872318775e-14,0.0
15,0.0,0.683091631102299,0.292551274345096,0.023439121526294758,0.0008981712733767892,1.9520108823481252e-05,2.789965482137711e-07,2.6285686710996177e-09,1.891219443748243e-11,7.695752179521431e-14,0.0
16,0.0,0.6499785867223273,0.3192794338053606,0.029417784646206716,0.001291473614308561,3.218920094689917e-05,5.262349852683156e-07,5.728433983834396e-09,4.7183665146574525e-11,2.4168132972674624e-13,0.0
17,0.0,0.63349126575453,0.3321995113965793,0.03273395336623597,0.0015337329880925313,4.081730819993539e-05,7.108198640765161e-07,8.293415537691918e-09,7.266377917236319e-11,4.1292837007472234e-13,0.0
18,0.0,0.5767411882681592,0.37434697145125095,0.04612509451073055,0.002697118912125016,8.766822601577077e-05,1.9311510822222683e-06,2.716609653009441e-08,3.123586823957159e-10,2.1691888314483855e-12,5.753922209148862e-15
19,0.0,0.5532018044236972,0.3906855547608586,0.05265387853116642,0.003336036788849424,0.00011987801043669832,2.802433701969462e-06,4.452101643981755e-08,5.258366787725719e-10,4.4143710905754374e-12,1.567983916464446e-14
20,0.0,0.5378066963441954,0.40090550692307436,0.057298084645194876,0.0038401563478091365,0.00014589391130937423,3.6005206252589573e-06,6.054589647773608e-08,7.550844501188053e-10,6.774478125617258e-12,2.955890647395639e-14
21,0.0,0.4934523869821544,0.42822775162580506,0.07236015997566071,0.0056975036111791355,0.0002547220018967042,7.328982711298698e-06,1.447038334542438e-07,2.0939536181969553e-09,2.2648556966853417e-11,1.4975663454824767e-13
22,0.0,0.43969590348959753,0.4556335351840722,0.09494493483692872,0.00921277995571284,0.0004949475424064701,1.7481100165979143e-05,4.1053385361708464e-07,7.262001531047274e-09,9.437896922182165e-11,8.745208583229879e-13
23,0.0,0.42735539855491805,0.4606975971017599,0.10106211660332873,0.01028342817896926,0.0005795545981588491,2.1367297103977316e-05,5.278022057299147e-07,9.728949779725545e-09,1.332868850155769e-10,1.3113521975519326e-12
24,0.0,0.3984512335401675,0.4702188721885645,0.11712416782368874,0.013322013491162358,0.0008482391980809022,3.448524577078209e-05,9.68494309956926e-07,1.9710182942506637e-08,3.0460118550139544e-10,3.4633348942775035e-12
25,0.0,0.3877300484892269,0.4728436463327558,0.12368010534339033,0.01472352328664598,0.0009798494409878524,4.158168000863529e-05,1.2190836052594947e-06,2.5920168313439748e-08,4.1819493835611813e-10,5.008473177549508e-12
26,0.0,0.37749714074703117,0.47477153176299935,0.13032442415997866,0.01622750832219274,0.0011279069426646646,4.992690669182357e-05,1.5266998915048137e-06,3.388112476541894e-08,5.702433864810355e-10,7.174054184518557e-12
27,0.0,0.36295177362115694,0.4763288514362147,0.14059012270892318,0.018676043569912346,0.0013856990795998304,6.534008549927024e-05,2.1180011250355204e-06,5.0596185028779924e-08,8.890507896885326e-10,1.2325237625520344e-11
28,0.0,0.3539373336492305,0.4765615928383977,0.14738711322241574,0.020451809521465643,0.0015817895836743793,7.76740904633327e-05,2.62077229455542e-06,6.511059461657778e-08,1.1942557614638178e-09,1.719987019695345e-11
29,0.0,0.34541822662018895,0.47613393005291343,0.15421195138938973,0.02234055522936086,0.001800032635178721,9.199042668138428e-05,3.228656651558339e-06,8.33712170160562e-08,1.5945607484331577e-09,2.3849606727153273e-11
30,0.0,0.3302585972940555,0.4733288426542278,0.16746505770741418,0.026511919732666603,0.002302990274108909,0.00012762699830759177,4.828606290353439e-06,1.3388333681571045e-07,2.804972761857847e-09,4.461142986092975e-11
31,0.0,0.323241765624712,0.4710072854885025,0.17424873423178616,0.028748285390037084,0.002598397707733074,0.0001494815776084123,5.877223930871775e-06,1.6901491744406123e-07,3.6800100099884437e-09,6.075417401108749e-11
32,0.0,0.3106275823780274,0.46465163496230827,0.18764907411917053,0.03357907773932643,0.003280710700324022,0.00020304343043324864,8.604627633405337e-06,2.6569998690841764e-07,6.232192877052446e-09,1.1058869220761432e-10
33,0.0,0.28910011792824336,0.43892305658252423,0.21763674236661454,0.04837994534852671,0.005518200158458126,0.0004208244912605578,2.0319935254157207e-05,7.722272084531938e-07,2.051376788722591e-08,4.481337511578894e-10
34,0.0,0.28383729746072256,0.4210094451812294,0.22997973106000646,0.05763285052911758,0.006908261807459809,0.000601518253409681,2.9553699683085992e-05,1.3065996164149612e-06,3.451233082350642e-08,8.964159145671057e-10
35,0.0,0.28139696462129465,0.4139814134220311,0.23520171425324107,0.06109427205360876,0.007610433117304257,0.0006787233387068965,3.487365704268133e-05,1.5608640846617198e-06,4.354378881750926e-08,1.1288888937880815e-09
36,0.0,0.2753888796370773,0.40066014854774734,0.24622524397487985,0.06750586877438058,0.00932463660814173,0.0008436273382603918,4.93493002659489e-05,2.173497645686473e-06,7.057041624493025e-08,1.751176601579977e-09
37,0.0,0.27230077352998333,0.38532628223481463,0.254982623456364,0.07511026616438354,0.011141955290543574,0.0010678991053380644,6.697625736947048e-05,3.1129531366958638e-06,1.0817836167528741e-07,2.829697021200625e-09
38,0.0,0.2710956761766389,0.37749322304603283,0.2589433441361325,0.07904422208755804,0.01214361259626073,0.0011983662744426398,7.770467455973721e-05,3.7141823291425113e-06,1.3324314475680352e-07,3.582892756659667e-09
39,0.0,0.27009327821770407,0.3695990206506571,0.2626050585568884,0.08305590153194194,0.013210081924988243,0.001342157333664419,8.991354792006977e-05,4.420151497042167e-06,1.6356380027163924e-07,4.5209304898271465e-09
40,0.0,0.2686276402328589,0.35377241891677963,0.2689760680299648,0.09127916382475344,0.015545620788491601,0.0016731618262337824,0.00011946792567367389,6.207309866429299e-06,2.4402720291585343e-07,7.1181667775214825e-09
41,0.0,0.2657125232809374,0.33947669755449084,0.2751441452677813,0.099116952527533,0.01831718599896198,0.002065208710742998,0.0001582326164689237,8.683543330610393e-06,3.5924549391897373e-07,1.1254251359800276e-08
42,0.0,0.2659733469348105,0.31985688236792836,0.27914769188655286,0.11017234869393971,0.0219431004963476,0.002673621656040681,0.00021951332953904152,1.2900158433774535e-05,5.755102313083725e-07,1.8966168521316423e-08
43,0.0,0.2656838564816441,0.30543214542283825,0.28120408099064115,0.11887617575983864,0.025244030908153893,0.0032582884540544037,0.00028299203918530586,1.7574178424804284e-05,8.270870870138174e-07,2.8678125068425268e-08
44,0.0,0.2655623980448214,0.2985352567160128,0.2817308121980364,0.12323054215199011,0.02701136310936814,0.003587830447415335,0.0003203323727504865,2.0442049760237758e-05,9.87807683145779e-07,3.510215451202048e-08
45,0.0,0.2625641829741837,0.2842477636468463,0.2827463904660949,0.13344281012309508,0.031973361766779666,0.004562401507043044,0.00043136595367717495,3.0170546651600428e-05,1.493242798628686e-06,5.977282288106918e-08
46,0.0,0.26078884210256514,0.2733677392095032,0.2816339445612313,0.14195615946036189,0.03614779102301409,0.005524184244472497,0.0005382338672597104,4.0978100282309894e-05,2.037055197011166e-06,9.037610603298188e-08
47,0.0,0.25979163107930137,0.2656636004973778,0.27976424254388027,0.14832941660741236,0.039428841014801035,0.006335583182610408,0.0006331283402315042,5.0865097355367354e-05,2.5712474308181194e-06,1.2038959218441777e-07
48,0.0,0.2599176864688114,0.2556326504111268,0.2758135562066732,0.15620362979105135,0.04418126398829759,0.007382587580754462,0.0008004499641808856,6.434541212279486e-05,3.6676114227064805e-06,1.625655522113807e-07
49,0.0,0.2586295150338256,0.24754695410686858,0.27103426581714746,0.16385270673026614,0.04917858587298882,0.008677984713513177,0.0009912923293849325,8.344195843676888e-05,5.022825907969551e-06,2.3061165428205963e-07
50,0.0,0.2560394706438083,0.24135786345612584,0.2654240588667925,0.17123494096533054,0.054362918869212885,0.010258655653133511,0.0012054884061136863,0.0001096017907626868,6.666774183355732e-06,3.345745305926704e-07
