time_step,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.9989041146094847,0.0010956930759387629,1.9227239408763312e-07,4.2182389789870314e-11,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.9826401067963537,0.01731845033069265,4.1324505726997944e-05,1.183532227521674e-07,1.3973644716501444e-11,3.0280943012146444e-14,0.0,0.0,0.0,0.0
3,0.0,0.9719510330978784,0.027907605834382017,0.00014098609759057823,3.7445680840108555e-07,5.129420047502858e-10,3.9868264796966286e-13,0.0,0.0,0.0,0.0
4,0.0,0.9647626838516904,0.03501027422076598,0.0002262871435457223,7.534351414982747e-07,1.3473889444204886e-09,1.4666896633929422e-12,0.0,0.0,0.0,0.0
5,0.0,0.9568001391118819,0.04285355605459132,0.0003448900245849178,1.4116217079373218e-06,3.1827079349969788e-09,4.523725700465404e-12,8.455788721855595e-16,0.0,0.0,0.0
6,0.0,0.9165634042774785,0.08214983325212943,0.0012753463863686828,1.1372256288541353e-05,4.365615823509305e-08,1.7138554740035793e-10,1.8891850545755518e-13,3.1834137731809145e-16,0.0,0.0
7,0.0,0.9051414945496041,0.09316871472996946,0.0016730228200110343,1.669027439890431e-05,7.731013640267965e-08,3.1537497519319057e-10,5.021032855737774e-13,6.979698018245576e-16,0.0,0.0
8,0.0,0.8931151664340464,0.10470557633399888,0.0021550966853103315,2.4028480449148555e-05,1.3148938793890079e-07,5.755964464391539e-10,1.206820931233856e-12,1.5450899771159768e-15,0.0,0.0
9,0.0,0.8732280542491458,0.12370963162705689,0.0030205595416083115,4.1492268560990295e-05,2.6085873636197767e-07,1.4513336903218432e-09,3.5476982247996164e-12,7.139929912249609e-15,0.0,0.0
10,0.0,0.8272741595320277,0.16733155392892196,0.005276381897994609,0.00011714282000752489,7.538220837423866e-07,7.981760533026441e-09,1.709902350171854e-11,1.015594319668361e-13,0.0,0.0
11,0.0,0.8039088775309873,0.18909609457272952,0.0068189693866233135,0.00017474605571942458,1.2974756532720758e-06,1.49373764903485e-08,4.066183296573406e-11,2.454995036725097e-13,0.0,0.0
12,0.0,0.7488430236831638,0.23893421586216929,0.011831118793077284,0.00038719464222933183,4.389144752336647e-06,5.7596465530534925e-08,2.7628233949781987e-10,1.8536209296271503e-12,2.1054712752375627e-15,0.0
13,0.0,0.6744650285000532,0.29972012940946735,0.02482727468285677,0.000965878963042417,2.1351358168119393e-05,3.34396057414161e-07,2.666199640012138e-09,2.407656245726538e-11,7.354952894752306e-14,2.2235749303882117e-16
14,0.0,0.6320909900180154,0.3342955673588863,0.03208826697441066,0.001485255628660422,3.92497169159919e-05,6.626024484784002e-07,7.637218401435945e-09,6.30787408420169e-11,3.5987152188017405e-13,8.068885185376034e-16
15,0.0,0.5524596530467042,0.39230628682364876,0.05185622545768721,0.0032592344429719414,0.00011589689284614102,2.66139514562168e-06,4.145815283258206e-08,4.79034783249557e-10,3.781577245403837e-12,2.0983103543103176e-14
16,0.0,0.5150108218719114,0.4161096591795219,0.0640793650224894,0.004606809078940859,0.00018832863189553823,4.926286295940998e-06,8.876321486480377e-08,1.154562987827477e-09,1.108743187490335e-11,7.332928560828521e-14
17,0.0,0.4590563630731066,0.4477579665583253,0.08516332809226329,0.007630307982742234,0.00037934079354639796,1.2423795508000901e-05,2.651144812678887e-07,4.540563816273324e-09,4.895801395871857e-11,4.983326744894341e-13
18,0.0,0.4337898963748299,0.4597605960560176,0.09623020277684807,0.00968154732248863,0.000517867816986895,1.9452820146833865e-05,4.279833864810259e-07,8.755100766073543e-09,9.299610794781738e-11,1.1916185940799755e-12
19,0.0,0.4218798006036668,0.4643433315242669,0.10236591473948987,0.010780978613294395,0.0006058012566665241,2.3610936216776138e-05,5.507303344227771e-07,1.1461136296299966e-08,1.3323944614976702e-10,1.6813540900891065e-12
20,0.0,0.4046996866958395,0.4696853741364161,0.11228019863525328,0.012536779376242403,0.0007662201869348148,3.0915311843180325e-05,8.087239142878211e-07,1.6699307164490845e-08,2.3149140757847794e-10,2.7502155354406178e-12
21,0.0,0.38893327676438477,0.4738928999567369,0.12153861060581624,0.014644833476800699,0.0009477488854573153,4.147197688542712e-05,1.1323109950069204e-06,2.565064470996448e-08,3.673971392350313e-10,4.874287323595044e-12
22,0.0,0.36937724607738476,0.4767937410973306,0.13479384735734395,0.017719847006675806,0.0012542545358685449,5.923914381064047e-05,1.781087768582034e-06,4.2992704566342466e-08,6.914227555445652e-10,9.682462858560512e-12
23,0.0,0.34933132579778037,0.47644845209371184,0.1498334446101156,0.022585479183678227,0.0017034175090501606,9.491405262864773e-05,2.879632361718543e-06,8.577241623489671e-08,1.324091215843082e-09,2.4158620937883262e-11
24,0.0,0.34170438177342954,0.47514912171909207,0.1565435207088246,0.0245521574024823,0.0019361883691838377,0.00011096204216843484,3.559095814455279e-06,1.0707041481504653e-07,1.786425539747611e-09,3.215680138416723e-11
25,0.0,0.3345565675952819,0.4732334095230347,0.16324831347380553,0.026633508054265176,0.0021942395118509754,0.00012944812815657853,4.377678621711949e-06,1.3360175556432222e-07,2.3902901557631957e-09,4.292995292270126e-11
26,0.0,0.3215702832967549,0.4647112973436359,0.1774826898213389,0.03316548309202451,0.0028642867271449625,0.00019901034465682322,6.695235492029024e-06,2.497753695203959e-07,4.265780989908336e-09,9.779382292710216e-11
27,0.0,0.31626199824723245,0.4607064944753084,0.18392631620073271,0.03565007466596297,0.0032183066033398015,0.00022834628419146955,8.15396145821293e-06,3.037927805690418e-07,5.643201824152658e-09,1.2578379514264014e-10
28,0.0,0.31138544017083014,0.4562026090308703,0.1902813401254066,0.03825210757272954,0.0036065784497560293,0.00026166210767974215,9.88514416158699e-06,3.6983054985271517e-07,7.405446467714808e-09,1.625617464260105e-10
29,0.0,0.3069269306875697,0.4512298222798661,0.19652881971141256,0.040971338419970235,0.0040312948924167025,0.0002994026025933264,1.1931237709422006e-05,4.5031092661930945e-07,9.646834499574227e-09,2.1069248906804226e-10
30,0.0,0.30287154233594155,0.4458197169087297,0.20265003036487464,0.04380706886249219,0.004494691274554809,0.0003420492485568157,1.4340168153396521e-05,5.480808807640252e-07,1.2482390439477311e-08,2.734172672492205e-10
31,0.0,0.2988773743226832,0.4361797499801321,0.21061399684834223,0.04867892528789034,0.005207508892980343,0.0004233254919784547,1.834980804577677e-05,7.513427367392469e-07,1.7609340839125493e-08,4.1586145218471035e-10
32,0.0,0.2906647087518098,0.41605758824330547,0.22719015327511977,0.058389585440534006,0.007048036731148777,0.0006178384618317043,3.0724026498148774e-05,1.3279593327282144e-06,3.621937848067564e-08,8.910328171445386e-10
33,0.0,0.2813109379644653,0.40034770818670934,0.24226421487628347,0.06606212411759725,0.00915112501653887,0.000813961396442704,4.7811621325632003e-05,2.0487106160499283e-06,6.650078862826298e-08,1.6092246141825757e-09
34,0.0,0.2783430223227213,0.38498947641491016,0.2510799787066116,0.07354833486420001,0.010936169350135184,0.0010350558242331954,6.489689724765153e-05,2.9609119450761922e-06,1.0208171161485931e-07,2.626276272195204e-09
35,0.0,0.2716284788717572,0.3677416554347254,0.2626946678827385,0.0827838582932651,0.013674040114907138,0.0013781018076343503,9.4356835223641e-05,4.665964985229766e-06,1.6992784513954527e-07,4.866910345734191e-09
36,0.0,0.27180033613023774,0.355221096860559,0.26679819426159596,0.08904394132132548,0.015386019581339732,0.0016275893324707582,0.00011660413630416099,5.9805477877543375e-06,2.311255915020085e-07,6.702779771162072e-09
37,0.0,0.26967860518924236,0.3443031699509035,0.2714457226399055,0.0951647991598598,0.017338150358072596,0.001918121440372682,0.00014338488782100837,7.728292337784312e-06,3.08640490689098e-07,9.440986221819852e-09
38,0.0,0.2678451001164372,0.3335309687307136,0.27527131517374925,0.10147459461684766,0.019438098657611088,0.002254531935276945,0.0001750293288620179,9.939871404526734e-06,4.083688668771045e-07,1.3200222969588798e-08
39,0.0,0.2660027112238336,0.315742275118985,0.27952048834954013,0.1122877876259855,0.023271031878888664,0.0029188576097200665,0.00024137923362601847,1.480135688555005e-05,6.452867994547453e-07,2.2315728217727442e-08
40,0.0,0.2646811139948007,0.3058040626195874,0.2811089488212163,0.11891651806153614,0.025781037776237956,0.0033985987481075413,0.00029009642830930783,1.8754996986935917e-05,8.37977152071398e-07,3.057605792773121e-08
41,0.0,0.2653933697349837,0.2952612627859477,0.28127185931541093,0.12531265918265916,0.028489418174007308,0.0038962327643628043,0.0003509224423161819,2.312707122751329e-05,1.1082246909419174e-06,4.030438597986633e-08
42,0.0,0.2651944011793758,0.28892458796652015,0.2811741120126518,0.129621555096615,0.03038549566133352,0.004275724844948945,0.00039600165735954857,2.6752430891113437e-05,1.3201565392425084e-06,4.899375710330769e-08
43,0.0,0.26389230380041245,0.28050039956509415,0.28066721475936846,0.13615493969517056,0.03335669413135809,0.0049224440461642285,0.00047083698912170645,3.340790655453646e-05,1.6930994903299642e-06,6.600725801013973e-08
44,0.0,0.26171090468730834,0.27037487030339663,0.278794440505539,0.14506589441294002,0.0374818867217366,0.005939554817277998,0.0005850938919084172,4.4943997489411375e-05,2.3123366248483727e-06,9.832577162364346e-08
45,0.0,0.26176813221178397,0.26260163283801174,0.2763295827458727,0.15090611859642056,0.040947088476011986,0.006692160943027095,0.0006979098609681444,5.4247881829074217e-05,3.0001216602978317e-06,1.2632440753215447e-07
46,0.0,0.2612424474721523,0.2580793288427429,0.27437648095377276,0.15488826372012324,0.04329969836387087,0.007268901914477391,0.0007792777717809579,6.192397185416776e-05,3.525925680459171e-06,1.5106353766709482e-07
47,0.0,0.2606262076239225,0.2538917131259289,0.27215401894190755,0.15877511498607283,0.04572566393103637,0.007883779738751923,0.0008686134045682768,7.057371107179554e-05,4.134194208288045e-06,1.803425245760271e-07
48,0.0,0.2589522932833292,0.24857662727811575,0.26831378360208535,0.16472733634978878,0.0493956670094919,0.008929957993794566,0.0010126727828213397,8.62477896001215e-05,5.177363614848467e-06,2.3654735140981194e-07
49,0.0,0.2581026066744467,0.2452206801211936,0.2654680967147058,0.16834270964183617,0.0519910301348449,0.009646493024149275,0.0011242882224349094,9.77743457535278e-05,6.040695240298081e-06,2.804253881904493e-07
50,0.0,0.25576904510013776,0.23648571613734304,0.2559352392715526,0.17778825556363712,0.06036850419515272,0.011966420943295981,0.0015367478457374874,0.00014004077798225836,9.569951448441015e-06,4.6021370620893244e-07
