site,arrival_time_mean,arrival_time_std,arrival_time_min,arrival_time_max,distance_from_center
0,13.594,3.711221362301096,4,27,5
1,7.833,2.5789747963095664,2,17,4
2,3.517,1.3452549944155496,2,8,3
3,1.0,0.0,1,1,2
4,1.0,0.0,1,1,1
5,0.0,0.0,0,0,0
6,1.0,0.0,1,1,1
7,2.008,0.08908422980528061,2,3,2
8,5.079,1.5584476250423036,2,9,3
9,10.325,2.8697343082592117,3,20,4
