time_step,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.9995614631386189,0.00043848876955441353,4.808918971680321e-08,2.6369776629353557e-12,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.9982471504248402,0.001752224768926582,6.246955375036293e-07,1.1069061502978316e-10,5.202902467645675e-15,0.0,0.0,0.0,0.0,0.0
3,0.0,0.9960609502011027,0.003936024972540333,3.0236755635809544e-06,1.1506091808295458e-09,1.8427865808126211e-13,0.0,0.0,0.0,0.0,0.0
4,0.0,0.9930093255007149,0.006981277305814139,9.390943883052244e-06,6.24755316222275e-09,2.0342820293586094e-12,0.0,0.0,0.0,0.0,0.0
5,0.0,0.9891012878282491,0.010875979958800838,2.270877300965588e-05,2.3427271620399352e-08,1.2665871812274777e-11,2.3024921655198413e-15,0.0,0.0,0.0,0.0
6,0.0,0.9843483606246942,0.015604796149187083,4.6773951008049404e-05,6.921940559226944e-08,5.5680392830054137e-11,2.4229325120179712e-14,0.0,0.0,0.0,0.0
7,0.0,0.646211896915049,0.35028352088959513,0.0031635999627427714,0.00034084945977380974,1.311273314966025e-07,1.6450791853384377e-09,4.278850832215228e-13,3.823049001619647e-16,0.0,0.0
8,0.0,0.6347668586123366,0.36086112753236765,0.003998202401283022,0.0003733852778628698,4.2404284884065324e-07,2.1314585514289776e-09,1.8410736379087597e-12,8.972984157797846e-16,0.0,0.0
9,0.0,0.6233129633719573,0.37124392492239033,0.005030165810879023,0.0004120130899831117,9.29529731521023e-07,3.2699707469202075e-09,5.083437841639606e-12,3.272234201093149e-15,0.0,0.0
10,0.0,0.6118804967129392,0.38139385121433156,0.006266035996019061,0.00045791700939800306,1.6934463987351972e-06,5.60896427139171e-09,1.1936179668123068e-11,1.1430578220139389e-14,0.0,0.0
11,0.0,0.6004990328735516,0.39127415710515256,0.007711555763375238,0.0005124726620015494,2.7715786827297136e-06,9.991376436684123e-09,2.582280727075024e-11,3.4830960805297976e-14,0.0,0.0
12,0.0,0.5891973246821113,0.40084956359890894,0.009371613082495423,0.0005772496671138619,4.231288138742251e-06,1.7628238213618216e-08,5.2898274672268494e-11,9.306180272311652e-14,0.0,0.0
13,0.0,0.5780031981430516,0.4100864117414169,0.011250193939856466,0.000654012521453266,6.153362356728502e-06,3.0188012838968945e-08,1.0362404316423934e-10,2.254582107667951e-13,0.0,0.0
14,0.0,0.566943452200389,0.41895280361297227,0.013350340195126388,0.000744719829502019,8.634062450232627e-06,4.990409594429854e-08,1.9495476678825412e-10,5.06708763564e-13,0.0,0.0
15,0.0,0.4934825300309316,0.47866601086257726,0.02186211669380522,0.005943022216648139,4.2932991462498996e-05,3.3769484174301953e-06,9.849815869058306e-09,4.0609470629266307e-10,2.419116390311952e-13,2.4819047793992133e-15
16,0.0,0.49491102876584975,0.4743752528119324,0.02437790641321851,0.006272177454204565,5.985296908458226e-05,3.764740199264937e-06,1.6370857412139487e-08,4.739691389620904e-10,6.773334024914675e-13,3.2148100046159264e-15
17,0.0,0.49656269773690387,0.4696717849614419,0.027051011904956575,0.006629537339467763,8.068079130327065e-05,4.261019923330684e-06,2.5671306182895507e-08,5.732366741159002e-10,1.4519444030445746e-12,4.796518232329828e-15
18,0.0,0.4984231675060956,0.4645798362564999,0.029869282671109346,0.007016966882848991,0.00010581654077292516,4.8909463957504304e-06,3.847674663642407e-08,7.168059660135609e-10,2.7126613308749572e-12,8.213264680315181e-15
19,0.0,0.500476959737691,0.45912530728106926,0.03281994784032737,0.0074363519796614075,0.0001356919822164479,5.684546782962359e-06,5.570516658256245e-08,9.223912047498259e-10,4.674649387351407e-12,1.4973424993725748e-14
20,0.0,0.5475443593574559,0.4058079843496498,0.03547960759051913,0.010945576339205019,0.00020879313509542725,1.354463601624586e-05,1.3084718079753316e-07,3.727464753425482e-09,1.723304457399912e-11,1.7519659086348934e-13
21,0.0,0.5521205494685419,0.3978686276958042,0.03824570619133326,0.011489724236972764,0.00025985554319176015,1.535042099579595e-05,1.8185362059367248e-07,4.561364693751753e-09,2.792469718689109e-11,2.454160246564532e-13
22,0.0,0.5567080743647477,0.3898212951973957,0.041066417493676295,0.012067807952372497,0.0003186125417309011,1.753954700688532e-05,2.4717330296083095e-07,5.686088677063877e-09,4.331554025617191e-11,3.57577350960503e-13
23,0.0,0.561283168238283,0.3817024149265531,0.043927369441722805,0.012680876169805585,0.0003856544320849495,2.0179629163236037e-05,3.299048084219943e-07,7.191942418692282e-09,6.50976696778259e-11,5.332483382897955e-13
24,0.0,0.5658219311802858,0.37354857591000673,0.046814238038839245,0.013329867184795285,0.00046159740453565715,2.334723463223356e-05,4.3375731491244124e-07,9.193249088883675e-09,9.5532586238987e-11,8.029817623468512e-13
25,0.0,0.5663014470813987,0.3660116343080597,0.05289912359092009,0.0141328775396234,0.0006255097903182809,2.8726003911602466e-05,6.683482377294061e-07,1.3164522951434249e-08,1.7152134922370008e-10,1.4801905145369444e-12
26,0.0,0.5704375514326445,0.3580453931428237,0.055865432651493456,0.014887926146015636,0.0007290559253116598,3.37727785129767e-05,8.504527251424316e-07,1.7227983582162017e-08,2.402465595780464e-10,2.23648494149887e-12
27,0.0,0.5744641922282104,0.3501619795604036,0.05880666046753487,0.015682413186167258,0.000843935420998219,3.972248947438591e-05,1.0738157856905489e-06,2.2494765493781617e-08,3.3332062582167633e-10,3.3329389907569836e-12
28,0.0,0.5783585745220317,0.3423962190806591,0.06170963986939434,0.016516611435633266,0.0009708763147779036,4.6702594100857324e-05,1.3464454878104558e-06,2.9274505137768394e-08,4.584994634036276e-10,4.903628214921425e-12
29,0.0,0.5820983545267009,0.3347821676439293,0.06456168979660697,0.01739059487508896,0.0011106238534689043,5.485306729891228e-05,1.6776590363925245e-06,3.794499974588823e-08,6.25733672881863e-10,7.12933648636917e-12
30,0.0,0.5856617440054088,0.32735294886519173,0.06735068681768962,0.01830422746661347,0.001263937763435247,6.432701079992478e-05,2.0782480257769e-06,4.896486624956034e-08,8.47710384351589e-10,1.0251250474816105e-11
31,0.0,0.5890276115861003,0.3201405966919142,0.07006513313371504,0.0192571534429943,0.0014315892030785224,7.529124153980928e-05,2.5606574361419132e-06,6.288811625897456e-08,1.1405079480110665e-09,1.4589792846116387e-11
32,0.0,0.5865499236862971,0.31526864222965667,0.07580288568824754,0.02051658197526536,0.0017634993887695849,9.485849536987666e-05,3.5157585488186254e-06,9.098798636957688e-08,1.7650781004578857e-09,2.47727397169591e-11
33,0.0,0.5892025776365036,0.30879456526963533,0.07833221716138647,0.02158247332154161,0.0019730665409452893,0.00011070649450933503,4.2755475731157035e-06,1.1565771976971012e-07,2.3357906234667546e-09,3.438677019279311e-11
34,0.0,0.5916014866598973,0.30262865548521284,0.08074999391163994,0.022685929522458695,0.0021998190517607845,0.0001287876699788441,5.178330531722004e-06,1.462470470546976e-07,3.07409593294904e-09,4.736857432405442e-11
35,0.0,0.5937297882487061,0.29679613815574524,0.08304822424600859,0.023825525001229267,0.0024445491053881278,0.0001493401976329568,6.246960721728629e-06,1.8399579142706942e-07,4.023987478250514e-09,6.47809998779601e-11
36,0.0,0.5824279972194213,0.29768927535579914,0.09075832956998901,0.02579719700156459,0.003115923631157098,0.00020196224263466803,9.01432969091035e-06,2.9386198030760806e-07,6.663329926855784e-09,1.2442481889714704e-10
37,0.0,0.5835000643005632,0.2930439583281758,0.09271196775856022,0.027076341573948313,0.0034240316689413478,0.00023251007328377527,1.0753931115807712e-05,3.6359681068945467e-07,8.603603555645618e-09,1.6498907026992261e-10
38,0.0,0.5842688290235031,0.2887931075488293,0.09451870474007878,0.028385968717614528,0.003753391517968749,0.0002667513805441424,1.278765958411133e-05,4.4813839167801263e-07,1.1055448421547755e-08,2.18028711040758e-10
