site,arrival_time_mean,arrival_time_std,arrival_time_min,arrival_time_max,distance_from_center
0,32.557,1.6046030661818014,26,35,5
1,18.0,1.118033988749895,12,19,4
2,7.283,0.8105004626772314,3,8,3
3,1.0,0.0,1,1,2
4,1.0,0.0,1,1,1
5,0.0,0.0,0,0,0
6,1.0,0.0,1,1,1
7,2.0,0.0,2,2,2
8,7.332,0.7808815531180132,4,8,3
9,19.036,1.0939396692688366,13,20,4
